customer_id,signup_date,city,age_group,acquisition_channel
C00200,2024-11-26,Delhi,26-35,Instagram
C00201,2025-04-15,Chennai,18-25,Instagram
C00202,2026-03-16,Ahmedabad,26-35,YouTube
C00203,2025-10-31,Hyderabad,26-35,Organic
C00204,2025-11-05,Bangalore,36-45,Organic
C00205,2025-03-27,Bangalore,18-25,Organic
C00206,2026-02-19,Delhi,36-45,Instagram
C00207,2026-02-08,Bangalore,36-45,Google
C00208,2025-11-28,Pune,46-55,YouTube
C00209,2025-12-03,Bangalore,26-35,Facebook
C00210,2025-08-21,Hyderabad,36-45,Referral
C00211,2024-08-30,Pune,36-45,Instagram
C00212,2024-12-29,Hyderabad,18-25,Facebook
C00213,2025-11-04,Delhi,26-35,Google
C00214,2025-01-25,Chennai,36-45,Google
C00215,2024-10-19,Pune,18-25,Instagram
C00216,2026-02-26,Chennai,26-35,Instagram
C00217,2025-05-09,Bangalore,26-35,Organic
C00218,2026-01-01,Bangalore,36-45,Organic
C00219,2024-12-29,Ahmedabad,18-25,Google
C00220,2025-02-15,Mumbai,26-35,Instagram
C00221,2025-02-05,Delhi,18-25,Referral
C00222,2025-02-24,Hyderabad,36-45,Referral
C00223,2025-04-06,Pune,36-45,Google
C00224,2025-01-07,Ahmedabad,26-35,Google
C00225,2025-12-03,Delhi,26-35,YouTube
C00226,2025-01-25,Ahmedabad,26-35,Facebook
C00227,2025-04-09,Bangalore,26-35,Google
C00228,2026-01-01,Hyderabad,36-45,Organic
C00229,2025-04-06,Pune,18-25,YouTube
C00230,2024-07-07,Bangalore,36-45,Instagram
C00231,2024-07-01,Bangalore,36-45,Facebook
C00232,2025-04-05,Mumbai,46-55,Referral
C00233,2025-08-19,Ahmedabad,18-25,Referral
C00234,2026-02-23,Hyderabad,26-35,Referral
C00235,2024-09-22,Ahmedabad,18-25,Google
C00236,2025-06-12,Chennai,46-55,Organic
C00237,2025-01-01,Mumbai,36-45,Organic
C00238,2025-04-14,Chennai,26-35,Instagram
C00239,2025-04-09,Bangalore,36-45,Referral
C00240,2025-01-16,Bangalore,26-35,Facebook
C00241,2024-07-12,Kolkata,26-35,YouTube
C00242,2024-08-17,Chennai,36-45,Organic
C00243,2025-05-30,Delhi,18-25,Google
C00244,2024-11-21,Hyderabad,56+,Google
C00245,2025-01-25,Hyderabad,46-55,Instagram
C00246,2024-08-27,Kolkata,56+,YouTube
C00247,2024-08-01,Hyderabad,36-45,Organic
C00248,2024-09-19,Mumbai,26-35,Facebook
C00249,2025-02-27,Mumbai,26-35,Instagram
C00250,2024-10-13,Mumbai,18-25,Facebook
C00251,2024-11-25,Pune,36-45,Facebook
C00252,2025-01-09,Kolkata,18-25,Organic
C00253,2025-01-03,Mumbai,46-55,YouTube
C00254,2024-07-08,Delhi,18-25,Referral
C00255,2024-09-13,Delhi,18-25,Google
C00256,2026-02-28,Chennai,18-25,Instagram
C00257,2025-08-31,Chennai,36-45,Instagram
C00258,2024-09-18,Bangalore,18-25,Instagram
C00259,2024-12-29,Bangalore,18-25,Organic
C00260,2025-03-02,Hyderabad,18-25,Google
C00261,2026-01-30,Bangalore,26-35,Instagram
C00262,2026-01-14,Kolkata,46-55,Instagram
C00263,2025-11-05,Delhi,26-35,Organic
C00264,2024-09-07,Bangalore,18-25,Facebook
C00265,2025-05-10,Ahmedabad,18-25,Google
C00266,2025-05-06,Bangalore,18-25,Organic
C00267,2025-08-12,Delhi,26-35,Facebook
C00268,2025-12-22,Bangalore,18-25,Organic
C00269,2025-01-22,Bangalore,18-25,Organic
C00270,2025-06-21,Bangalore,18-25,Organic
C00271,2024-12-16,Bangalore,26-35,Facebook
C00272,2024-11-12,Bangalore,36-45,Google
C00273,2025-01-17,Bangalore,18-25,Organic
C00274,2025-10-13,Hyderabad,36-45,Referral
C00275,2025-04-06,Pune,26-35,Instagram
C00276,2025-09-09,Mumbai,46-55,Organic
C00277,2025-09-15,Delhi,18-25,YouTube
C00278,2025-02-17,Hyderabad,36-45,YouTube
C00279,2026-03-03,Kolkata,46-55,Facebook
C00280,2024-07-30,Kolkata,56+,Organic
C00281,2026-01-25,Bangalore,36-45,Referral
C00282,2024-07-06,Delhi,18-25,Facebook
C00283,2025-03-02,Delhi,46-55,Google
C00284,2025-12-10,Delhi,36-45,Instagram
C00285,2025-09-11,Hyderabad,18-25,Referral
C00286,2025-01-22,Mumbai,18-25,Organic
C00287,2026-01-17,Bangalore,46-55,Organic
C00288,2024-09-27,Mumbai,18-25,YouTube
C00289,2025-09-02,Hyderabad,36-45,Instagram
C00290,2025-05-28,Bangalore,26-35,YouTube
C00291,2024-11-10,Kolkata,36-45,Organic
C00292,2026-02-09,Bangalore,18-25,Facebook
C00293,2025-11-02,Ahmedabad,36-45,Google
C00294,2024-07-06,Bangalore,26-35,Organic
C00295,2024-08-25,Kolkata,46-55,Organic
C00296,2024-08-05,Kolkata,18-25,Referral
C00297,2025-03-23,Ahmedabad,18-25,Instagram
C00298,2025-03-24,Chennai,18-25,Instagram
C00299,2025-10-06,Chennai,18-25,Instagram
C00300,2025-09-05,Pune,56+,Referral
C00301,2024-07-10,Chennai,18-25,Organic
C00302,2025-05-01,Bangalore,18-25,Organic
C00303,2025-11-14,Hyderabad,36-45,Organic
C00304,2026-01-25,Hyderabad,18-25,Instagram
C00305,2025-01-03,Kolkata,18-25,Instagram
C00306,2024-07-29,Mumbai,36-45,Organic
C00307,2024-10-06,Mumbai,26-35,Organic
C00308,2025-02-03,Pune,36-45,Organic
C00309,2025-04-10,Delhi,26-35,Organic
C00310,2025-02-10,Bangalore,26-35,Facebook
C00311,2024-08-27,Mumbai,26-35,Facebook
C00312,2025-02-03,Mumbai,46-55,Organic
C00313,2025-01-02,Delhi,26-35,Google
C00314,2025-05-08,Mumbai,36-45,Instagram
C00315,2024-08-20,Mumbai,26-35,Organic
C00316,2025-11-18,Delhi,26-35,Referral
C00317,2025-03-24,Mumbai,36-45,Instagram
C00318,2025-01-20,Pune,18-25,Google
C00319,2026-01-31,Delhi,26-35,Facebook
C00320,2025-10-19,Ahmedabad,18-25,Instagram
C00321,2024-09-26,Ahmedabad,36-45,Organic
C00322,2024-10-02,Hyderabad,26-35,Facebook
C00323,2024-07-02,Delhi,26-35,Organic
C00324,2025-06-24,Hyderabad,18-25,Instagram
C00325,2025-02-12,Kolkata,46-55,YouTube
C00326,2025-02-25,Pune,26-35,Organic
C00327,2025-05-22,Chennai,18-25,Google
C00328,2025-06-10,Hyderabad,18-25,Organic
C00329,2024-07-01,Pune,26-35,Instagram
C00330,2024-09-07,Delhi,18-25,Organic
C00331,2025-11-17,Chennai,46-55,Facebook
C00332,2026-03-02,Delhi,36-45,Referral
C00333,2025-12-17,Pune,18-25,Facebook
C00334,2026-01-31,Kolkata,26-35,Referral
C00335,2025-04-23,Bangalore,18-25,YouTube
C00336,2025-12-11,Pune,18-25,Organic
C00337,2026-01-15,Bangalore,26-35,Instagram
C00338,2026-01-22,Chennai,18-25,Facebook
C00339,2024-10-04,Bangalore,46-55,Facebook
C00340,2024-10-02,Ahmedabad,26-35,Google
C00341,2025-03-15,Bangalore,18-25,YouTube
C00342,2025-05-18,Ahmedabad,56+,Google
C00343,2026-03-05,Chennai,26-35,Instagram
C00344,2025-01-20,Hyderabad,18-25,Google
C00345,2025-12-14,Chennai,26-35,Referral
C00346,2026-01-19,Chennai,56+,Instagram
C00347,2026-03-09,Ahmedabad,26-35,Instagram
C00348,2024-10-30,Delhi,26-35,Facebook
C00349,2024-12-02,Hyderabad,26-35,Referral
C00350,2024-11-18,Bangalore,26-35,YouTube
C00351,2025-10-13,Pune,18-25,Google
C00352,2025-09-12,Bangalore,26-35,Instagram
C00353,2025-03-18,Hyderabad,46-55,Organic
C00354,2024-08-26,Hyderabad,36-45,Google
C00355,2025-05-29,Mumbai,18-25,Referral
C00356,2025-10-11,Hyderabad,26-35,Facebook
C00357,2025-04-30,Chennai,18-25,Google
C00358,2024-12-19,Chennai,26-35,Referral
C00359,2025-07-14,Hyderabad,36-45,Organic
C00360,2025-08-27,Hyderabad,26-35,Instagram
C00361,2025-07-13,Ahmedabad,46-55,Organic
C00362,2026-01-09,Bangalore,26-35,Referral
C00363,2025-01-17,Bangalore,36-45,Instagram
C00364,2025-07-25,Bangalore,46-55,Referral
C00365,2025-12-29,Pune,36-45,Referral
C00366,2024-11-13,Mumbai,46-55,Organic
C00367,2024-12-27,Chennai,36-45,Facebook
C00368,2024-08-01,Pune,26-35,Organic
C00369,2025-02-25,Delhi,26-35,Google
C00370,2024-07-29,Kolkata,26-35,Facebook
C00371,2025-10-20,Chennai,46-55,YouTube
C00372,2024-08-26,Delhi,18-25,Instagram
C00373,2025-09-16,Mumbai,46-55,Instagram
C00374,2025-07-06,Delhi,26-35,Google
C00375,2026-03-24,Bangalore,36-45,Instagram
C00376,2025-02-08,Bangalore,26-35,Referral
C00377,2025-02-06,Ahmedabad,56+,Google
C00378,2024-12-03,Mumbai,18-25,Facebook
C00379,2025-06-09,Mumbai,26-35,Referral
C00380,2024-11-18,Chennai,46-55,Google
C00381,2024-09-11,Hyderabad,18-25,Facebook
C00382,2026-02-27,Ahmedabad,18-25,Referral
C00383,2025-09-07,Chennai,46-55,Instagram
C00384,2024-09-14,Mumbai,36-45,Instagram
C00385,2025-07-30,Mumbai,18-25,Organic
C00386,2025-01-11,Ahmedabad,26-35,Referral
C00387,2024-10-24,Pune,18-25,Organic
C00388,2025-04-28,Ahmedabad,18-25,YouTube
C00389,2025-11-16,Bangalore,26-35,Organic
C00390,2024-07-01,Kolkata,18-25,YouTube
C00391,2025-02-12,Pune,26-35,Organic
C00392,2026-02-09,Bangalore,18-25,Organic
C00393,2025-03-09,Hyderabad,46-55,Instagram
C00394,2024-09-02,Pune,26-35,Referral
C00395,2025-03-31,Bangalore,18-25,Referral
C00396,2025-09-10,Mumbai,46-55,Referral
C00397,2026-03-29,Kolkata,36-45,Google
C00398,2025-08-06,Delhi,18-25,Organic
C00399,2024-08-02,Mumbai,56+,Google
C00400,2025-11-29,Mumbai,18-25,Referral
C00401,2025-11-11,Delhi,26-35,Google
C00402,2025-08-21,Ahmedabad,26-35,Facebook
C00403,2026-01-24,Chennai,18-25,Google
C00404,2025-11-04,Bangalore,36-45,Organic
C00405,2024-11-26,Ahmedabad,26-35,Organic
C00406,2025-03-27,Kolkata,46-55,Google
C00407,2025-05-21,Delhi,18-25,YouTube
C00408,2025-05-09,Kolkata,18-25,Facebook
C00409,2025-08-13,Bangalore,26-35,Organic
C00410,2025-09-22,Ahmedabad,18-25,Facebook
C00411,2024-09-05,Pune,46-55,Referral
C00412,2025-06-29,Pune,36-45,Facebook
C00413,2024-07-25,Bangalore,36-45,YouTube
C00414,2025-05-23,Kolkata,36-45,Organic
C00415,2025-03-27,Bangalore,18-25,YouTube
C00416,2024-11-09,Delhi,18-25,Organic
C00417,2026-03-26,Bangalore,26-35,Referral
C00418,2024-12-12,Chennai,36-45,Referral
C00419,2024-08-05,Delhi,26-35,Referral
C00420,2025-02-15,Ahmedabad,18-25,Organic
C00421,2025-10-27,Pune,36-45,Google
C00422,2024-07-06,Bangalore,18-25,Organic
C00423,2025-05-11,Bangalore,26-35,Referral
C00424,2025-03-24,Bangalore,18-25,Google
C00425,2026-01-05,Hyderabad,26-35,Instagram
C00426,2024-07-02,Chennai,26-35,Google
C00427,2024-07-12,Delhi,46-55,Organic
C00428,2025-06-27,Kolkata,36-45,Google
C00429,2024-10-23,Bangalore,18-25,Instagram
C00430,2025-09-23,Chennai,36-45,Google
C00431,2024-12-25,Ahmedabad,36-45,Google
C00432,2025-06-25,Chennai,36-45,Google
C00433,2024-07-25,Pune,46-55,Google
C00434,2025-09-17,Kolkata,36-45,Organic
C00435,2025-05-28,Bangalore,18-25,Organic
C00436,2024-07-01,Delhi,26-35,Facebook
C00437,2024-12-17,Bangalore,26-35,Instagram
C00438,2024-08-07,Hyderabad,26-35,Google
C00439,2024-07-29,Chennai,56+,Instagram
C00440,2025-09-20,Pune,26-35,Organic
C00441,2025-03-31,Kolkata,26-35,Instagram
C00442,2025-11-26,Bangalore,46-55,Google
C00443,2024-12-12,Chennai,36-45,Organic
C00444,2025-10-02,Delhi,18-25,Google
C00445,2025-07-29,Delhi,46-55,Referral
C00446,2025-08-28,Pune,26-35,Organic
C00447,2025-12-12,Ahmedabad,26-35,YouTube
C00448,2025-09-26,Pune,26-35,Google
C00449,2025-10-20,Bangalore,46-55,Google
C00450,2025-10-16,Pune,18-25,Referral
C00451,2025-04-12,Bangalore,26-35,Instagram
C00452,2025-10-06,Kolkata,36-45,Instagram
C00453,2025-12-21,Pune,46-55,Referral
C00454,2025-10-15,Bangalore,18-25,Google
C00455,2025-07-24,Bangalore,18-25,Instagram
C00456,2024-08-17,Delhi,46-55,Organic
C00457,2025-04-05,Ahmedabad,36-45,YouTube
C00458,2024-08-10,Mumbai,26-35,Instagram
C00459,2024-09-05,Chennai,26-35,Referral
C00460,2025-02-16,Pune,26-35,Facebook
C00461,2025-04-23,Hyderabad,36-45,Google
C00462,2025-06-03,Bangalore,26-35,Organic
C00463,2026-01-27,Ahmedabad,36-45,Instagram
C00464,2025-10-31,Delhi,18-25,Facebook
C00465,2025-03-28,Hyderabad,36-45,Instagram
C00466,2025-01-30,Pune,18-25,Google
C00467,2025-09-29,Pune,46-55,Facebook
C00468,2024-12-23,Ahmedabad,18-25,Organic
C00469,2026-01-16,Bangalore,18-25,Google
C00470,2025-11-12,Hyderabad,18-25,YouTube
C00471,2025-09-10,Mumbai,18-25,Facebook
C00472,2024-12-07,Mumbai,26-35,Referral
C00473,2025-08-02,Bangalore,36-45,Instagram
C00474,2025-12-07,Bangalore,46-55,Google
C00475,2024-08-15,Delhi,26-35,Facebook
C00476,2024-10-22,Delhi,26-35,Instagram
C00477,2025-05-26,Mumbai,26-35,Google
C00478,2025-02-15,Pune,36-45,Instagram
C00479,2025-09-27,Pune,18-25,Instagram
C00480,2025-03-14,Mumbai,26-35,Referral
C00481,2026-03-29,Mumbai,18-25,Google
C00482,2025-01-08,Delhi,18-25,Instagram
C00483,2025-02-16,Hyderabad,26-35,Instagram
C00484,2024-07-03,Delhi,18-25,Instagram
C00485,2024-12-06,Bangalore,18-25,Instagram
C00486,2024-11-28,Mumbai,36-45,Instagram
C00487,2025-10-31,Mumbai,18-25,Organic
C00488,2025-02-01,Delhi,26-35,Instagram
C00489,2024-11-08,Hyderabad,26-35,Google
C00490,2025-01-17,Hyderabad,46-55,Referral
C00491,2025-06-25,Pune,36-45,Organic
C00492,2025-11-14,Pune,18-25,Organic
C00493,2026-03-18,Pune,46-55,Facebook
C00494,2024-07-31,Delhi,26-35,Google
C00495,2025-12-20,Chennai,26-35,Instagram
C00496,2025-03-06,Hyderabad,36-45,Instagram
C00497,2025-11-29,Mumbai,36-45,Instagram
C00498,2024-07-24,Pune,26-35,Facebook
C00499,2025-08-05,Mumbai,26-35,Organic
C00500,2026-02-15,Hyderabad,18-25,YouTube
C00501,2024-07-26,Chennai,26-35,Facebook
C00502,2025-11-17,Kolkata,56+,YouTube
C00503,2024-09-12,Ahmedabad,26-35,Google
C00504,2026-03-20,Hyderabad,56+,YouTube
C00505,2025-10-19,Hyderabad,18-25,Referral
C00506,2026-02-02,Chennai,36-45,Instagram
C00507,2026-01-25,Delhi,46-55,Referral
C00508,2025-01-18,Kolkata,36-45,Facebook
C00509,2025-03-23,Hyderabad,18-25,Organic
C00510,2025-09-15,Bangalore,26-35,Google
C00511,2024-10-20,Bangalore,18-25,YouTube
C00512,2025-01-12,Kolkata,26-35,Referral
C00513,2024-09-02,Bangalore,56+,Organic
C00514,2026-01-19,Delhi,26-35,Google
C00515,2024-12-06,Delhi,18-25,Google
C00516,2025-03-20,Bangalore,18-25,Google
C00517,2025-04-16,Delhi,26-35,YouTube
C00518,2025-02-26,Chennai,26-35,Facebook
C00519,2025-11-10,Bangalore,18-25,Google
C00520,2026-02-05,Kolkata,36-45,Instagram
C00521,2025-07-02,Kolkata,18-25,Instagram
C00522,2025-12-17,Mumbai,26-35,Organic
C00523,2024-09-09,Bangalore,26-35,Referral
C00524,2026-03-10,Hyderabad,18-25,Referral
C00525,2024-09-13,Bangalore,26-35,Instagram
C00526,2024-08-12,Mumbai,36-45,Instagram
C00527,2024-07-15,Ahmedabad,26-35,Facebook
C00528,2024-12-03,Ahmedabad,36-45,Organic
C00529,2025-12-17,Chennai,26-35,Google
C00530,2025-01-09,Delhi,26-35,Google
C00531,2025-11-18,Pune,56+,Google
C00532,2025-03-29,Pune,46-55,Instagram
C00533,2024-09-05,Mumbai,18-25,Instagram
C00534,2025-04-29,Pune,46-55,Organic
C00535,2024-11-26,Bangalore,36-45,Google
C00536,2025-01-03,Delhi,18-25,Google
C00537,2025-05-27,Hyderabad,26-35,Referral
C00538,2025-11-18,Bangalore,18-25,Google
C00539,2025-07-10,Bangalore,26-35,Referral
C00540,2024-11-20,Kolkata,46-55,YouTube
C00541,2025-10-02,Ahmedabad,26-35,Google
C00542,2025-09-19,Hyderabad,26-35,YouTube
C00543,2024-11-29,Kolkata,18-25,Google
C00544,2025-12-27,Ahmedabad,26-35,Google
C00545,2025-12-21,Bangalore,36-45,Instagram
C00546,2025-07-21,Mumbai,18-25,Organic
C00547,2025-01-06,Mumbai,26-35,Referral
C00548,2025-02-12,Bangalore,26-35,Organic
C00549,2025-04-07,Chennai,36-45,Instagram
C00550,2024-10-29,Mumbai,36-45,Organic
C00551,2025-01-12,Mumbai,36-45,Instagram
C00552,2024-09-24,Bangalore,26-35,Google
C00553,2024-10-07,Delhi,26-35,Organic
C00554,2025-10-19,Kolkata,36-45,Instagram
C00555,2024-09-21,Bangalore,36-45,Google
C00556,2025-04-26,Delhi,26-35,Referral
C00557,2025-04-01,Delhi,46-55,Organic
C00558,2024-07-30,Hyderabad,18-25,Organic
