partner_id,city,vehicle_type,joining_date
D00209,Hyderabad,Bicycle,2024-08-30
D00210,Ahmedabad,Bike,2025-10-10
D00211,Pune,Bike,2025-02-11
D00212,Kolkata,Scooter,2024-01-09
D00213,Kolkata,Scooter,2024-03-24
D00214,Delhi,Scooter,2025-09-21
D00215,Pune,Bike,2025-08-26
D00216,Kolkata,Bike,2024-06-14
D00217,Bangalore,Bike,2025-05-03
D00218,Pune,Bike,2025-01-22
D00219,Delhi,Bike,2024-02-11
D00220,Kolkata,Bike,2025-06-20
D00221,Delhi,Bike,2024-05-01
D00222,Mumbai,Scooter,2024-11-08
D00223,Pune,Bike,2024-01-07
D00224,Hyderabad,Scooter,2024-07-04
D00225,Bangalore,Bike,2025-12-14
D00226,Delhi,Scooter,2025-01-16
D00227,Kolkata,Bike,2025-07-05
D00228,Ahmedabad,Scooter,2024-08-16
D00229,Pune,Bike,2024-02-03
D00230,Bangalore,Bike,2025-04-13
D00231,Chennai,Bicycle,2024-07-02
D00232,Pune,Bike,2024-03-24
D00233,Mumbai,Scooter,2025-01-11
D00234,Delhi,Scooter,2024-11-07
D00235,Bangalore,Bike,2024-03-29
D00236,Bangalore,Bike,2025-03-26
D00237,Pune,Scooter,2024-12-05
D00238,Delhi,Bicycle,2026-01-24
D00239,Hyderabad,Bike,2024-03-08
D00240,Hyderabad,Scooter,2025-01-12
D00241,Hyderabad,Scooter,2025-08-27
D00242,Hyderabad,Scooter,2024-11-20
D00243,Hyderabad,Scooter,2024-06-08
D00244,Bangalore,Bike,2026-01-23
D00245,Bangalore,Bike,2024-09-04
D00246,Hyderabad,Bicycle,2025-12-06
D00247,Mumbai,Scooter,2025-10-02
D00248,Mumbai,Bike,2025-05-27
D00249,Mumbai,Scooter,2025-08-12
D00250,Bangalore,Bike,2025-02-19
D00251,Bangalore,Bike,2025-05-24
D00252,Pune,Bike,2024-07-25
D00253,Hyderabad,Bike,2024-02-12
D00254,Hyderabad,Bike,2025-04-20
D00255,Bangalore,Bike,2025-09-04
D00256,Chennai,Scooter,2025-09-27
D00257,Mumbai,Scooter,2025-08-03
D00258,Pune,Bike,2026-01-17
D00259,Mumbai,Bike,2025-03-29
D00260,Mumbai,Bicycle,2024-05-10
D00261,Chennai,Bike,2024-06-05
D00262,Bangalore,Bike,2024-07-27
D00263,Bangalore,Bike,2026-01-13
D00264,Bangalore,Bicycle,2025-11-04
D00265,Ahmedabad,Bike,2025-07-06
D00266,Ahmedabad,Bicycle,2025-10-18
D00267,Pune,Bicycle,2024-09-17
D00268,Mumbai,Bicycle,2025-06-30
D00269,Bangalore,Scooter,2024-05-07
D00270,Kolkata,Scooter,2024-03-20
D00271,Delhi,Bicycle,2025-05-04
D00272,Delhi,Bike,2025-06-22
D00273,Kolkata,Scooter,2025-03-29
D00274,Delhi,Bike,2024-12-23
D00275,Kolkata,Bike,2025-04-06
D00276,Chennai,Bike,2024-10-09
D00277,Kolkata,Bicycle,2024-08-11
D00278,Pune,Bike,2024-07-10
D00279,Mumbai,Scooter,2024-10-04
D00280,Pune,Scooter,2024-08-30
D00281,Kolkata,Scooter,2024-04-30
D00282,Chennai,Bike,2025-02-12
D00283,Kolkata,Scooter,2024-11-09
D00284,Ahmedabad,Scooter,2024-05-03
D00285,Pune,Bicycle,2025-11-21
D00286,Ahmedabad,Bicycle,2025-01-23
D00287,Delhi,Bike,2024-04-18
D00288,Ahmedabad,Bike,2024-02-06
D00289,Ahmedabad,Scooter,2024-03-06
D00290,Bangalore,Bike,2024-11-08
D00291,Hyderabad,Scooter,2024-07-03
D00292,Hyderabad,Scooter,2026-01-01
D00293,Chennai,Bike,2024-12-23
D00294,Bangalore,Scooter,2025-07-17
D00295,Hyderabad,Bike,2024-07-05
D00296,Hyderabad,Bicycle,2024-02-22
D00297,Mumbai,Bike,2024-09-12
D00298,Ahmedabad,Scooter,2025-06-08
D00299,Hyderabad,Bike,2025-08-05
D00300,Mumbai,Bike,2024-05-29
D00301,Kolkata,Bike,2024-08-13
D00302,Bangalore,Scooter,2024-12-27
D00303,Delhi,Bicycle,2024-09-21
D00304,Delhi,Scooter,2024-08-12
D00305,Ahmedabad,Scooter,2026-01-19
D00306,Kolkata,Bike,2025-12-12
D00307,Hyderabad,Bicycle,2024-09-28
D00308,Delhi,Bike,2024-02-11
D00309,Mumbai,Scooter,2024-09-30
D00310,Hyderabad,Bike,2025-11-02
D00311,Hyderabad,Scooter,2025-11-16
D00312,Delhi,Bike,2025-06-18
D00313,Bangalore,Bike,2025-05-29
D00314,Kolkata,Bike,2024-10-03
D00315,Pune,Scooter,2024-12-01
D00316,Bangalore,Bike,2025-11-01
D00317,Ahmedabad,Bicycle,2024-06-13
D00318,Mumbai,Scooter,2024-11-05
D00319,Chennai,Bicycle,2025-10-30
D00320,Bangalore,Bike,2025-06-16
D00321,Ahmedabad,Scooter,2024-03-24
D00322,Bangalore,Bike,2025-08-23
D00323,Ahmedabad,Bicycle,2024-02-21
D00324,Chennai,Bike,2024-08-06
D00325,Delhi,Bike,2025-12-01
D00326,Delhi,Bike,2024-02-25
D00327,Kolkata,Bike,2024-05-22
D00328,Bangalore,Scooter,2025-10-23
D00329,Bangalore,Bike,2025-05-25
D00330,Pune,Scooter,2024-06-25
D00331,Bangalore,Bike,2024-09-19
D00332,Hyderabad,Bike,2025-12-11
D00333,Hyderabad,Bicycle,2025-04-06
D00334,Bangalore,Scooter,2024-08-28
D00335,Mumbai,Bicycle,2024-04-20
D00336,Bangalore,Bike,2024-11-12
D00337,Ahmedabad,Scooter,2024-08-29
D00338,Delhi,Scooter,2024-11-23
D00339,Pune,Scooter,2024-02-07
D00340,Pune,Bike,2024-12-22
D00341,Chennai,Bike,2024-07-06
D00342,Delhi,Bike,2026-01-03
D00343,Delhi,Scooter,2024-07-29
D00344,Hyderabad,Scooter,2024-07-05
D00345,Pune,Scooter,2024-08-18
D00346,Chennai,Bike,2025-04-08
D00347,Bangalore,Scooter,2025-07-11
D00348,Chennai,Bike,2024-08-12
D00349,Bangalore,Scooter,2025-06-12
D00350,Hyderabad,Bike,2024-04-09
D00351,Hyderabad,Scooter,2024-05-25
D00352,Bangalore,Bike,2024-08-08
D00353,Ahmedabad,Bike,2025-06-16
D00354,Pune,Bike,2025-02-24
D00355,Delhi,Bike,2024-12-17
D00356,Bangalore,Bike,2025-04-07
D00357,Chennai,Bike,2024-05-29
D00358,Kolkata,Bike,2024-07-19
D00359,Bangalore,Bicycle,2025-06-21
D00360,Delhi,Bike,2026-01-22
D00361,Pune,Bike,2024-01-01
D00362,Mumbai,Scooter,2024-10-03
D00363,Mumbai,Scooter,2025-11-04
D00364,Mumbai,Bike,2025-09-26
D00365,Hyderabad,Scooter,2024-07-18
D00366,Delhi,Bicycle,2024-01-27
D00367,Mumbai,Bike,2025-03-08
D00368,Bangalore,Bike,2025-06-13
D00369,Bangalore,Bike,2024-07-12
D00370,Ahmedabad,Bicycle,2024-08-19
D00371,Bangalore,Bike,2025-05-28
D00372,Bangalore,Bike,2025-02-13
D00373,Kolkata,Bicycle,2024-08-03
D00374,Ahmedabad,Scooter,2025-09-29
D00375,Kolkata,Bike,2025-11-19
D00376,Bangalore,Bike,2025-07-06
D00377,Pune,Scooter,2025-12-21
D00378,Pune,Scooter,2024-10-01
D00379,Chennai,Bike,2024-03-25
D00380,Bangalore,Bike,2025-07-12
D00381,Mumbai,Bicycle,2025-03-02
D00382,Delhi,Scooter,2024-11-11
D00383,Pune,Bike,2024-07-17
D00384,Mumbai,Bicycle,2024-02-18
D00385,Hyderabad,Scooter,2024-05-10
D00386,Pune,Bicycle,2025-05-22
D00387,Kolkata,Bike,2024-06-22
D00388,Ahmedabad,Bike,2025-12-14
D00389,Pune,Scooter,2024-12-26
D00390,Bangalore,Bike,2024-03-04
D00391,Kolkata,Bike,2025-05-13
D00392,Delhi,Scooter,2025-06-07
D00393,Bangalore,Scooter,2024-05-16
D00394,Mumbai,Bike,2025-10-01
D00395,Pune,Bike,2025-07-16
D00396,Bangalore,Scooter,2025-03-30
D00397,Delhi,Scooter,2024-04-02
D00398,Bangalore,Bike,2025-01-04
D00399,Pune,Bike,2026-01-09
D00400,Pune,Bike,2024-06-29
D00401,Hyderabad,Scooter,2025-12-14
D00402,Mumbai,Scooter,2024-05-27
D00403,Kolkata,Scooter,2025-04-06
D00404,Mumbai,Scooter,2024-10-28
D00405,Mumbai,Bike,2024-02-21
D00406,Hyderabad,Bike,2025-05-03
D00407,Pune,Bike,2024-12-26
D00408,Chennai,Bike,2024-08-27
D00409,Bangalore,Bike,2024-06-26
D00410,Kolkata,Bike,2025-01-07
D00411,Mumbai,Bicycle,2024-03-21
D00412,Kolkata,Scooter,2025-04-02
D00413,Hyderabad,Scooter,2024-03-11
D00414,Mumbai,Scooter,2024-06-09
D00415,Delhi,Scooter,2025-01-23
D00416,Mumbai,Bike,2025-07-18
D00417,Hyderabad,Bike,2024-10-29
D00418,Kolkata,Scooter,2025-04-24
D00419,Kolkata,Bike,2025-12-11
D00420,Hyderabad,Bike,2025-03-26
D00421,Kolkata,Scooter,2025-07-25
D00422,Kolkata,Bike,2024-12-30
D00423,Ahmedabad,Bike,2024-07-17
D00424,Mumbai,Bicycle,2024-10-04
D00425,Delhi,Scooter,2024-09-24
D00426,Ahmedabad,Bike,2025-02-22
D00427,Hyderabad,Bike,2024-04-25
D00428,Mumbai,Bicycle,2025-08-06
D00429,Mumbai,Bicycle,2024-04-26
D00430,Bangalore,Bike,2025-06-21
D00431,Delhi,Bike,2024-12-25
D00432,Delhi,Scooter,2025-07-16
D00433,Hyderabad,Bike,2024-05-13
D00434,Hyderabad,Bike,2024-06-08
D00435,Hyderabad,Bike,2024-07-11
D00436,Bangalore,Bike,2025-08-17
D00437,Bangalore,Scooter,2024-07-21
D00438,Mumbai,Bike,2024-09-12
D00439,Delhi,Scooter,2024-04-16
D00440,Kolkata,Bike,2024-06-26
D00441,Mumbai,Bike,2025-10-14
D00442,Mumbai,Bicycle,2024-04-02
D00443,Hyderabad,Bike,2025-11-26
D00444,Pune,Bike,2025-09-24
D00445,Bangalore,Bike,2025-12-23
D00446,Chennai,Scooter,2025-04-19
D00447,Bangalore,Scooter,2025-06-05
D00448,Mumbai,Bike,2025-10-03
D00449,Mumbai,Bike,2025-06-24
D00450,Hyderabad,Scooter,2025-03-03
D00451,Pune,Scooter,2024-11-16
D00452,Chennai,Bike,2025-10-17
D00453,Hyderabad,Bike,2024-08-28
D00454,Bangalore,Scooter,2025-02-28
D00455,Pune,Bike,2024-02-15
D00456,Mumbai,Scooter,2025-05-07
D00457,Hyderabad,Bike,2024-04-10
D00458,Mumbai,Scooter,2024-02-12
D00459,Mumbai,Scooter,2024-08-13
D00460,Pune,Bicycle,2025-05-25
D00461,Hyderabad,Scooter,2025-09-19
D00462,Kolkata,Bike,2025-03-31
D00463,Chennai,Scooter,2025-05-13
D00464,Mumbai,Scooter,2024-07-03
D00465,Delhi,Bike,2024-03-22
D00466,Bangalore,Bike,2024-03-26
D00467,Delhi,Bike,2024-02-27
D00468,Delhi,Scooter,2024-09-21
D00469,Bangalore,Bike,2025-07-23
D00470,Pune,Bike,2024-02-15
D00471,Delhi,Scooter,2024-09-21
D00472,Bangalore,Bicycle,2025-04-02
D00473,Mumbai,Bike,2024-02-15
D00474,Chennai,Bike,2025-02-20
D00475,Delhi,Bicycle,2024-10-29
D00476,Kolkata,Bicycle,2025-11-30
D00477,Kolkata,Bike,2025-01-13
D00478,Kolkata,Bike,2025-01-29
D00479,Pune,Bike,2025-10-09
D00480,Chennai,Bike,2025-07-10
D00481,Mumbai,Bike,2025-02-21
D00482,Pune,Scooter,2025-05-20
D00483,Delhi,Scooter,2024-11-03
D00484,Delhi,Scooter,2025-06-17
D00485,Ahmedabad,Scooter,2024-08-23
D00486,Hyderabad,Scooter,2024-08-27
D00487,Bangalore,Bike,2025-09-23
D00488,Delhi,Bike,2024-11-12
D00489,Mumbai,Scooter,2025-02-08
D00490,Kolkata,Scooter,2024-04-01
D00491,Kolkata,Bike,2024-09-18
D00492,Bangalore,Bike,2025-05-10
D00493,Bangalore,Scooter,2025-02-08
D00494,Bangalore,Bike,2024-08-18
D00495,Pune,Scooter,2024-01-23
D00496,Hyderabad,Bike,2025-02-22
D00497,Chennai,Scooter,2024-09-22
D00498,Hyderabad,Bike,2025-12-03
D00499,Bangalore,Bike,2024-02-03
D00500,Delhi,Scooter,2025-06-04
D00501,Delhi,Bike,2024-10-18
D00502,Pune,Bike,2024-07-22
D00503,Hyderabad,Bike,2025-06-28
D00504,Ahmedabad,Bike,2025-01-27
D00505,Bangalore,Bike,2024-02-26
D00506,Ahmedabad,Bike,2025-04-03
D00507,Delhi,Bike,2024-05-16
D00508,Mumbai,Scooter,2025-10-09
D00509,Bangalore,Scooter,2024-07-02
D00510,Delhi,Bike,2025-08-27
D00511,Delhi,Scooter,2024-09-07
D00512,Delhi,Bicycle,2024-08-28
D00513,Hyderabad,Scooter,2024-01-02
D00514,Chennai,Scooter,2025-12-01
D00515,Chennai,Bike,2025-02-24
D00516,Kolkata,Bike,2024-04-22
D00517,Chennai,Bicycle,2024-01-27
D00518,Ahmedabad,Bicycle,2024-07-29
D00519,Bangalore,Bike,2025-01-10
D00520,Ahmedabad,Bike,2024-01-26
D00521,Mumbai,Bike,2024-10-02
D00522,Mumbai,Bike,2024-08-25
D00523,Hyderabad,Bicycle,2025-10-27
D00524,Bangalore,Bike,2024-11-11
D00525,Delhi,Scooter,2024-03-20
D00526,Mumbai,Scooter,2024-07-02
D00527,Chennai,Bike,2025-09-21
D00528,Kolkata,Scooter,2024-01-10
D00529,Bangalore,Bike,2024-04-11
D00530,Delhi,Bike,2024-01-09
D00531,Hyderabad,Bike,2024-02-07
D00532,Mumbai,Bike,2025-12-05
D00533,Delhi,Scooter,2026-01-24
D00534,Mumbai,Bike,2025-07-13
D00535,Pune,Scooter,2024-03-11
D00536,Delhi,Scooter,2025-06-16
D00537,Bangalore,Bicycle,2025-08-11
D00538,Bangalore,Scooter,2025-08-21
D00539,Hyderabad,Scooter,2025-07-23
D00540,Delhi,Bike,2025-06-12
D00541,Hyderabad,Bike,2024-12-03
D00542,Kolkata,Scooter,2024-02-16
D00543,Delhi,Scooter,2025-09-19
D00544,Delhi,Scooter,2025-12-06
D00545,Bangalore,Bike,2025-01-16
D00546,Ahmedabad,Bike,2024-11-22
D00547,Hyderabad,Bike,2025-11-30
D00548,Chennai,Bike,2024-12-11
D00549,Kolkata,Scooter,2024-10-09
D00550,Ahmedabad,Bike,2025-11-06
D00551,Kolkata,Bike,2025-12-07
D00552,Delhi,Bike,2024-06-04
D00553,Hyderabad,Scooter,2024-07-28
D00554,Ahmedabad,Bike,2024-08-26
D00555,Pune,Bike,2024-05-01
D00556,Chennai,Scooter,2025-10-13
D00557,Kolkata,Scooter,2026-01-12
D00558,Pune,Bike,2025-01-30
D00559,Pune,Bike,2025-06-26
D00560,Hyderabad,Bike,2024-11-16
D00561,Delhi,Scooter,2026-01-28
D00562,Delhi,Bike,2025-12-28
D00563,Pune,Scooter,2025-07-25
D00564,Ahmedabad,Bike,2025-11-08
D00565,Ahmedabad,Scooter,2024-04-12
D00566,Delhi,Scooter,2025-11-07
D00567,Kolkata,Scooter,2024-11-21
D00568,Bangalore,Bike,2024-06-10
D00569,Hyderabad,Bike,2025-12-10
D00570,Ahmedabad,Bike,2025-10-05
D00571,Ahmedabad,Bike,2024-04-12
D00572,Hyderabad,Bike,2025-05-15
D00573,Pune,Bike,2025-11-03
D00574,Mumbai,Scooter,2025-06-10
D00575,Chennai,Scooter,2025-01-02
D00576,Delhi,Scooter,2024-02-06
D00577,Bangalore,Bike,2025-01-12
D00578,Kolkata,Scooter,2025-02-27
D00579,Bangalore,Scooter,2025-10-04
D00580,Pune,Scooter,2024-06-15
D00581,Mumbai,Bike,2024-06-06
D00582,Bangalore,Scooter,2025-12-07
D00583,Bangalore,Bike,2025-09-30
D00584,Bangalore,Bike,2025-03-03
D00585,Delhi,Bike,2024-12-05
D00586,Pune,Bike,2025-04-15
D00587,Hyderabad,Bicycle,2024-04-25
D00588,Mumbai,Scooter,2024-07-04
D00589,Kolkata,Scooter,2025-02-16
D00590,Chennai,Bicycle,2024-11-17
D00591,Pune,Scooter,2024-05-15
D00592,Hyderabad,Scooter,2025-02-07
D00593,Pune,Bicycle,2025-05-12
D00594,Delhi,Bike,2025-09-10
D00595,Delhi,Bike,2025-04-25
D00596,Delhi,Bike,2025-04-11
D00597,Chennai,Scooter,2025-02-28
D00598,Mumbai,Scooter,2024-03-27
D00599,Ahmedabad,Bike,2024-10-19
D00600,Bangalore,Scooter,2024-12-09
D00601,Mumbai,Scooter,2025-02-03
D00602,Bangalore,Bike,2024-08-13
D00603,Chennai,Scooter,2025-07-20
D00604,Mumbai,Scooter,2025-02-14
D00605,Pune,Bike,2024-08-20
D00606,Hyderabad,Bike,2024-12-24
D00607,Bangalore,Scooter,2025-06-24
D00608,Chennai,Bike,2024-01-18
D00609,Kolkata,Bike,2024-09-16
D00610,Hyderabad,Scooter,2024-06-07
D00611,Delhi,Bike,2024-09-02
D00612,Chennai,Bike,2025-05-17
D00613,Pune,Scooter,2024-06-11
D00614,Ahmedabad,Scooter,2025-02-18
D00615,Bangalore,Bike,2024-10-14
D00616,Kolkata,Bike,2024-02-10
D00617,Kolkata,Bike,2025-11-05
D00618,Delhi,Bike,2025-03-31
D00619,Pune,Bicycle,2024-08-14
D00620,Delhi,Bike,2025-01-18
D00621,Delhi,Bike,2026-01-22
D00622,Pune,Scooter,2024-04-24
D00623,Bangalore,Scooter,2025-10-10
D00624,Bangalore,Scooter,2024-01-02
D00625,Pune,Bike,2025-10-20
D00626,Ahmedabad,Bike,2024-09-12
D00627,Bangalore,Bicycle,2024-08-13
D00628,Bangalore,Scooter,2025-08-17
D00629,Bangalore,Scooter,2024-05-04
D00630,Bangalore,Bike,2024-04-11
D00631,Ahmedabad,Scooter,2024-12-21
D00632,Mumbai,Bicycle,2025-12-20
D00633,Pune,Bike,2024-09-09
D00634,Mumbai,Bike,2025-02-17
D00635,Ahmedabad,Bike,2024-10-30
D00636,Mumbai,Scooter,2025-07-31
D00637,Ahmedabad,Bike,2025-11-16
D00638,Pune,Bike,2026-01-14
D00639,Ahmedabad,Scooter,2024-07-24
D00640,Hyderabad,Scooter,2024-07-19
D00641,Kolkata,Bike,2025-12-05
D00642,Delhi,Bicycle,2025-03-20
D00643,Pune,Bike,2024-09-06
D00644,Pune,Bike,2024-09-16
D00645,Hyderabad,Scooter,2024-05-14
D00646,Hyderabad,Scooter,2024-03-05
D00647,Bangalore,Scooter,2024-09-21
D00648,Kolkata,Scooter,2025-08-27
D00649,Mumbai,Scooter,2025-05-17
D00650,Bangalore,Scooter,2024-01-10
