restaurant_id,restaurant_name,city,cuisine,rating,cost_for_two
R0045,Continental Kitchen 045,Ahmedabad,Continental,4.1,700
R0046,Desserts Kitchen 046,Bangalore,Desserts,4.12,600
R0047,Burgers Kitchen 047,Kolkata,Burgers,4.27,1000
R0048,Burgers Kitchen 048,Delhi,Burgers,4.38,600
R0049,Biryani Kitchen 049,Ahmedabad,Biryani,4.63,800
R0050,South Indian Kitchen 050,Kolkata,South Indian,4.23,700
R0051,Continental Kitchen 051,Chennai,Continental,4.15,600
R0052,Mughlai Kitchen 052,Hyderabad,Mughlai,3.8,1000
R0053,Mughlai Kitchen 053,Delhi,Mughlai,4.41,700
R0054,Street Food Kitchen 054,Mumbai,Street Food,3.85,800
R0055,Cafe Kitchen 055,Bangalore,Cafe,3.84,700
R0056,Continental Kitchen 056,Pune,Continental,4.22,1000
R0057,Continental Kitchen 057,Bangalore,Continental,4.69,500
R0058,Chinese Kitchen 058,Delhi,Chinese,4.4,300
R0059,Burgers Kitchen 059,Delhi,Burgers,4.14,600
R0060,South Indian Kitchen 060,Chennai,South Indian,3.81,500
R0061,Healthy Kitchen 061,Mumbai,Healthy,4.68,1500
R0062,South Indian Kitchen 062,Hyderabad,South Indian,4.13,1500
R0063,Mughlai Kitchen 063,Delhi,Mughlai,4.05,400
R0064,Mughlai Kitchen 064,Delhi,Mughlai,4.34,600
R0065,Pizza Kitchen 065,Hyderabad,Pizza,3.99,600
R0066,Cafe Kitchen 066,Delhi,Cafe,3.89,500
R0067,Continental Kitchen 067,Pune,Continental,3.92,300
R0068,Mughlai Kitchen 068,Mumbai,Mughlai,3.92,1500
R0069,Burgers Kitchen 069,Ahmedabad,Burgers,3.76,800
R0070,Street Food Kitchen 070,Delhi,Street Food,3.72,600
R0071,North Indian Kitchen 071,Mumbai,North Indian,4.49,400
R0072,Chinese Kitchen 072,Ahmedabad,Chinese,4.38,700
R0073,Biryani Kitchen 073,Kolkata,Biryani,3.86,500
R0074,Pizza Kitchen 074,Hyderabad,Pizza,4.46,500
R0075,Healthy Kitchen 075,Bangalore,Healthy,4.26,1500
R0076,Mughlai Kitchen 076,Mumbai,Mughlai,4.04,800
R0077,North Indian Kitchen 077,Hyderabad,North Indian,3.72,500
R0078,Biryani Kitchen 078,Delhi,Biryani,4.27,400
R0079,Mughlai Kitchen 079,Delhi,Mughlai,4.8,1000
R0080,Desserts Kitchen 080,Hyderabad,Desserts,4.16,800
R0081,Biryani Kitchen 081,Bangalore,Biryani,4.5,1200
R0082,Burgers Kitchen 082,Kolkata,Burgers,4.08,1000
R0083,Cafe Kitchen 083,Bangalore,Cafe,4.47,600
R0084,Cafe Kitchen 084,Ahmedabad,Cafe,4.1,800
R0085,Mughlai Kitchen 085,Hyderabad,Mughlai,3.31,600
R0086,Continental Kitchen 086,Ahmedabad,Continental,3.9,300
R0087,Mughlai Kitchen 087,Chennai,Mughlai,4.2,300
R0088,South Indian Kitchen 088,Bangalore,South Indian,4.53,300
R0089,Burgers Kitchen 089,Delhi,Burgers,4.1,1500
R0090,Burgers Kitchen 090,Bangalore,Burgers,4.16,1200
R0091,Cafe Kitchen 091,Chennai,Cafe,3.94,600
R0092,Continental Kitchen 092,Bangalore,Continental,4.7,1500
R0093,Burgers Kitchen 093,Pune,Burgers,4.68,1000
R0094,Pizza Kitchen 094,Kolkata,Pizza,3.91,400
R0095,Street Food Kitchen 095,Mumbai,Street Food,3.62,500
R0096,Healthy Kitchen 096,Pune,Healthy,3.52,600
R0097,Burgers Kitchen 097,Kolkata,Burgers,4.36,1200
R0098,Continental Kitchen 098,Chennai,Continental,4.2,800
R0099,Biryani Kitchen 099,Bangalore,Biryani,3.88,600
R0100,Chinese Kitchen 100,Delhi,Chinese,4.25,1200
R0101,North Indian Kitchen 101,Hyderabad,North Indian,3.72,500
R0102,North Indian Kitchen 102,Delhi,North Indian,4.43,1500
R0103,Street Food Kitchen 103,Hyderabad,Street Food,4.02,1000
R0104,North Indian Kitchen 104,Ahmedabad,North Indian,3.77,1000
R0105,Mughlai Kitchen 105,Mumbai,Mughlai,4.02,300
R0106,North Indian Kitchen 106,Delhi,North Indian,4.01,400
R0107,Chinese Kitchen 107,Bangalore,Chinese,4.28,1500
R0108,Pizza Kitchen 108,Kolkata,Pizza,4.56,1000
R0109,Chinese Kitchen 109,Delhi,Chinese,4.54,500
R0110,South Indian Kitchen 110,Delhi,South Indian,4.21,1200
R0111,Continental Kitchen 111,Hyderabad,Continental,4.08,500
R0112,Pizza Kitchen 112,Mumbai,Pizza,3.95,600
R0113,Burgers Kitchen 113,Mumbai,Burgers,3.53,500
R0114,Mughlai Kitchen 114,Hyderabad,Mughlai,4.14,700
R0115,Street Food Kitchen 115,Hyderabad,Street Food,3.85,1000
R0116,Biryani Kitchen 116,Bangalore,Biryani,4.58,400
R0117,Burgers Kitchen 117,Mumbai,Burgers,4.08,1500
R0118,Burgers Kitchen 118,Chennai,Burgers,4.41,500
R0119,Biryani Kitchen 119,Mumbai,Biryani,3.98,1500
R0120,South Indian Kitchen 120,Ahmedabad,South Indian,3.91,1200
R0121,Continental Kitchen 121,Delhi,Continental,4.36,700
R0122,Healthy Kitchen 122,Hyderabad,Healthy,4.25,300
R0123,Healthy Kitchen 123,Pune,Healthy,4.26,800
R0124,Biryani Kitchen 124,Hyderabad,Biryani,4.12,1000
R0125,Cafe Kitchen 125,Bangalore,Cafe,4.43,1500
R0126,South Indian Kitchen 126,Hyderabad,South Indian,4.38,300
R0127,South Indian Kitchen 127,Ahmedabad,South Indian,3.39,1000
R0128,Continental Kitchen 128,Mumbai,Continental,4.06,500
R0129,Chinese Kitchen 129,Bangalore,Chinese,4.51,1000
R0130,Mughlai Kitchen 130,Bangalore,Mughlai,3.79,800
R0131,Biryani Kitchen 131,Mumbai,Biryani,3.56,1200
R0132,Cafe Kitchen 132,Delhi,Cafe,4.1,300
R0133,Cafe Kitchen 133,Kolkata,Cafe,4.33,700
R0134,Healthy Kitchen 134,Ahmedabad,Healthy,3.99,1000
R0135,Continental Kitchen 135,Ahmedabad,Continental,4.6,600
R0136,Burgers Kitchen 136,Mumbai,Burgers,4.8,500
R0137,Street Food Kitchen 137,Mumbai,Street Food,3.48,500
R0138,Biryani Kitchen 138,Delhi,Biryani,4.02,1000
R0139,Continental Kitchen 139,Bangalore,Continental,3.35,400
R0140,Burgers Kitchen 140,Hyderabad,Burgers,4.38,1500
R0141,Street Food Kitchen 141,Delhi,Street Food,3.91,400
R0142,Mughlai Kitchen 142,Bangalore,Mughlai,3.98,600
R0143,Cafe Kitchen 143,Kolkata,Cafe,4.55,1500
R0144,Continental Kitchen 144,Chennai,Continental,3.69,300
R0145,Healthy Kitchen 145,Ahmedabad,Healthy,3.6,600
R0146,Cafe Kitchen 146,Delhi,Cafe,3.35,1200
R0147,Biryani Kitchen 147,Kolkata,Biryani,4.59,500
R0148,Pizza Kitchen 148,Mumbai,Pizza,4.51,500
R0149,North Indian Kitchen 149,Bangalore,North Indian,4.05,300
R0150,Healthy Kitchen 150,Mumbai,Healthy,3.7,400
R0151,Cafe Kitchen 151,Hyderabad,Cafe,4.44,400
R0152,Healthy Kitchen 152,Mumbai,Healthy,5.0,1200
R0153,Cafe Kitchen 153,Chennai,Cafe,4.07,700
R0154,Chinese Kitchen 154,Mumbai,Chinese,3.73,500
R0155,Continental Kitchen 155,Ahmedabad,Continental,4.58,1200
R0156,Burgers Kitchen 156,Bangalore,Burgers,3.75,800
R0157,Healthy Kitchen 157,Chennai,Healthy,4.02,500
R0158,South Indian Kitchen 158,Ahmedabad,South Indian,3.23,500
R0159,Cafe Kitchen 159,Hyderabad,Cafe,4.04,400
R0160,Pizza Kitchen 160,Kolkata,Pizza,3.7,1000
R0161,Continental Kitchen 161,Pune,Continental,4.59,1000
R0162,Mughlai Kitchen 162,Bangalore,Mughlai,3.81,800
R0163,Continental Kitchen 163,Pune,Continental,4.42,700
R0164,Biryani Kitchen 164,Pune,Biryani,4.11,700
R0165,Cafe Kitchen 165,Bangalore,Cafe,4.19,1500
R0166,Cafe Kitchen 166,Mumbai,Cafe,4.33,700
R0167,Biryani Kitchen 167,Bangalore,Biryani,4.13,800
R0168,Biryani Kitchen 168,Delhi,Biryani,3.92,500
R0169,Healthy Kitchen 169,Ahmedabad,Healthy,3.87,700
R0170,South Indian Kitchen 170,Ahmedabad,South Indian,4.33,300
R0171,Pizza Kitchen 171,Pune,Pizza,3.48,700
R0172,Healthy Kitchen 172,Mumbai,Healthy,4.74,1200
R0173,Street Food Kitchen 173,Mumbai,Street Food,4.2,1000
R0174,Cafe Kitchen 174,Bangalore,Cafe,4.03,1500
R0175,Healthy Kitchen 175,Delhi,Healthy,4.24,600
R0176,Mughlai Kitchen 176,Chennai,Mughlai,3.94,1200
R0177,Chinese Kitchen 177,Hyderabad,Chinese,4.09,1000
R0178,Healthy Kitchen 178,Mumbai,Healthy,3.75,1000
R0179,Healthy Kitchen 179,Bangalore,Healthy,4.28,1200
R0180,Mughlai Kitchen 180,Ahmedabad,Mughlai,4.12,700
R0181,Cafe Kitchen 181,Delhi,Cafe,4.22,600
R0182,South Indian Kitchen 182,Mumbai,South Indian,4.67,800
R0183,North Indian Kitchen 183,Delhi,North Indian,3.87,600
R0184,Cafe Kitchen 184,Delhi,Cafe,4.1,1000
R0185,Biryani Kitchen 185,Hyderabad,Biryani,3.57,1200
R0186,Pizza Kitchen 186,Pune,Pizza,4.34,300
R0187,Burgers Kitchen 187,Hyderabad,Burgers,4.14,800
R0188,Healthy Kitchen 188,Bangalore,Healthy,4.16,600
R0189,Pizza Kitchen 189,Ahmedabad,Pizza,4.09,300
R0190,Desserts Kitchen 190,Pune,Desserts,3.95,500
R0191,Burgers Kitchen 191,Kolkata,Burgers,5.0,1200
R0192,North Indian Kitchen 192,Bangalore,North Indian,4.16,600
R0193,Healthy Kitchen 193,Ahmedabad,Healthy,4.25,300
R0194,Desserts Kitchen 194,Chennai,Desserts,3.75,1000
R0195,Chinese Kitchen 195,Hyderabad,Chinese,4.46,500
R0196,Healthy Kitchen 196,Bangalore,Healthy,4.11,600
R0197,South Indian Kitchen 197,Delhi,South Indian,4.31,400
R0198,Biryani Kitchen 198,Kolkata,Biryani,4.47,1000
R0199,Chinese Kitchen 199,Mumbai,Chinese,4.11,1500
R0200,Cafe Kitchen 200,Pune,Cafe,3.91,1500
R0201,Continental Kitchen 201,Chennai,Continental,3.34,300
R0202,Street Food Kitchen 202,Chennai,Street Food,4.01,1500
R0203,South Indian Kitchen 203,Mumbai,South Indian,3.91,800
R0204,North Indian Kitchen 204,Kolkata,North Indian,3.75,1200
R0205,Mughlai Kitchen 205,Delhi,Mughlai,4.66,300
R0206,Desserts Kitchen 206,Kolkata,Desserts,4.49,1200
R0207,Pizza Kitchen 207,Mumbai,Pizza,3.51,500
R0208,Street Food Kitchen 208,Delhi,Street Food,4.2,600
R0209,Chinese Kitchen 209,Mumbai,Chinese,3.86,1500
R0210,South Indian Kitchen 210,Chennai,South Indian,4.28,1000
R0211,Burgers Kitchen 211,Pune,Burgers,3.87,700
R0212,Biryani Kitchen 212,Bangalore,Biryani,3.96,1000
R0213,Chinese Kitchen 213,Bangalore,Chinese,4.49,600
R0214,Cafe Kitchen 214,Pune,Cafe,4.44,1500
R0215,Biryani Kitchen 215,Delhi,Biryani,4.68,300
R0216,Cafe Kitchen 216,Delhi,Cafe,4.07,800
R0217,Desserts Kitchen 217,Chennai,Desserts,3.64,300
R0218,Mughlai Kitchen 218,Delhi,Mughlai,4.47,600
R0219,Continental Kitchen 219,Bangalore,Continental,4.47,700
R0220,Cafe Kitchen 220,Mumbai,Cafe,4.37,1200
R0221,Biryani Kitchen 221,Hyderabad,Biryani,3.89,1500
R0222,Desserts Kitchen 222,Hyderabad,Desserts,3.78,1000
R0223,Burgers Kitchen 223,Bangalore,Burgers,4.34,1500
R0224,Burgers Kitchen 224,Mumbai,Burgers,3.84,400
R0225,Pizza Kitchen 225,Mumbai,Pizza,4.04,700
R0226,North Indian Kitchen 226,Mumbai,North Indian,5.0,800
R0227,Chinese Kitchen 227,Bangalore,Chinese,4.9,300
R0228,Cafe Kitchen 228,Delhi,Cafe,4.43,800
R0229,North Indian Kitchen 229,Pune,North Indian,3.92,300
R0230,South Indian Kitchen 230,Bangalore,South Indian,3.9,800
R0231,Desserts Kitchen 231,Ahmedabad,Desserts,4.4,400
R0232,Continental Kitchen 232,Ahmedabad,Continental,4.67,1500
R0233,Chinese Kitchen 233,Mumbai,Chinese,3.97,500
R0234,North Indian Kitchen 234,Pune,North Indian,3.99,800
R0235,Pizza Kitchen 235,Pune,Pizza,4.18,800
R0236,North Indian Kitchen 236,Bangalore,North Indian,3.66,1200
R0237,Street Food Kitchen 237,Mumbai,Street Food,3.67,600
R0238,Mughlai Kitchen 238,Ahmedabad,Mughlai,3.74,600
R0239,South Indian Kitchen 239,Bangalore,South Indian,4.34,1000
R0240,South Indian Kitchen 240,Hyderabad,South Indian,4.25,300
R0241,Desserts Kitchen 241,Hyderabad,Desserts,4.55,700
R0242,Pizza Kitchen 242,Bangalore,Pizza,3.54,600
R0243,Healthy Kitchen 243,Hyderabad,Healthy,3.62,1500
R0244,Continental Kitchen 244,Ahmedabad,Continental,4.31,700
R0245,Pizza Kitchen 245,Bangalore,Pizza,3.84,1000
R0246,Mughlai Kitchen 246,Delhi,Mughlai,3.87,1200
R0247,Biryani Kitchen 247,Delhi,Biryani,4.5,400
R0248,Chinese Kitchen 248,Chennai,Chinese,3.96,800
R0249,Continental Kitchen 249,Hyderabad,Continental,4.0,1000
R0250,Biryani Kitchen 250,Hyderabad,Biryani,4.06,600
R0251,South Indian Kitchen 251,Chennai,South Indian,4.08,400
R0252,Cafe Kitchen 252,Ahmedabad,Cafe,4.39,700
R0253,Cafe Kitchen 253,Delhi,Cafe,3.73,300
R0254,Burgers Kitchen 254,Chennai,Burgers,4.08,1500
R0255,South Indian Kitchen 255,Mumbai,South Indian,4.56,300
R0256,South Indian Kitchen 256,Bangalore,South Indian,4.9,400
R0257,Mughlai Kitchen 257,Delhi,Mughlai,3.68,400
R0258,South Indian Kitchen 258,Mumbai,South Indian,4.27,400
R0259,Biryani Kitchen 259,Kolkata,Biryani,4.08,400
R0260,Mughlai Kitchen 260,Mumbai,Mughlai,4.12,800
R0261,Pizza Kitchen 261,Pune,Pizza,3.87,400
R0262,Pizza Kitchen 262,Bangalore,Pizza,4.41,1000
R0263,Street Food Kitchen 263,Bangalore,Street Food,4.4,600
R0264,Mughlai Kitchen 264,Ahmedabad,Mughlai,5.0,600
R0265,Healthy Kitchen 265,Kolkata,Healthy,3.69,700
R0266,Chinese Kitchen 266,Hyderabad,Chinese,3.54,300
R0267,Biryani Kitchen 267,Delhi,Biryani,4.87,700
R0268,Cafe Kitchen 268,Bangalore,Cafe,4.13,700
R0269,Street Food Kitchen 269,Ahmedabad,Street Food,3.99,1000
R0270,Desserts Kitchen 270,Bangalore,Desserts,4.22,400
R0271,Healthy Kitchen 271,Delhi,Healthy,3.66,300
R0272,Biryani Kitchen 272,Pune,Biryani,4.28,300
R0273,Pizza Kitchen 273,Ahmedabad,Pizza,4.12,1500
R0274,Cafe Kitchen 274,Bangalore,Cafe,4.53,600
R0275,Desserts Kitchen 275,Chennai,Desserts,4.45,500
R0276,South Indian Kitchen 276,Delhi,South Indian,4.48,400
R0277,Pizza Kitchen 277,Pune,Pizza,4.22,500
R0278,Street Food Kitchen 278,Bangalore,Street Food,4.71,600
R0279,Desserts Kitchen 279,Kolkata,Desserts,4.35,1500
R0280,Healthy Kitchen 280,Pune,Healthy,3.96,1000
R0281,Mughlai Kitchen 281,Ahmedabad,Mughlai,3.87,1200
R0282,Biryani Kitchen 282,Hyderabad,Biryani,3.91,300
R0283,Chinese Kitchen 283,Kolkata,Chinese,4.36,800
R0284,Desserts Kitchen 284,Hyderabad,Desserts,3.68,700
R0285,Burgers Kitchen 285,Hyderabad,Burgers,4.2,400
R0286,Street Food Kitchen 286,Bangalore,Street Food,3.86,700
R0287,Chinese Kitchen 287,Chennai,Chinese,3.71,800
R0288,Burgers Kitchen 288,Mumbai,Burgers,3.77,300
R0289,North Indian Kitchen 289,Hyderabad,North Indian,4.14,1500
R0290,Pizza Kitchen 290,Pune,Pizza,4.42,1000
R0291,Cafe Kitchen 291,Chennai,Cafe,3.91,1500
R0292,Mughlai Kitchen 292,Hyderabad,Mughlai,3.42,300
R0293,Street Food Kitchen 293,Pune,Street Food,5.0,300
R0294,North Indian Kitchen 294,Hyderabad,North Indian,4.54,1500
R0295,Street Food Kitchen 295,Pune,Street Food,4.48,1500
R0296,Healthy Kitchen 296,Mumbai,Healthy,4.72,800
R0297,Chinese Kitchen 297,Chennai,Chinese,4.18,400
R0298,Chinese Kitchen 298,Chennai,Chinese,4.1,500
R0299,Mughlai Kitchen 299,Hyderabad,Mughlai,4.62,1200
R0300,Healthy Kitchen 300,Bangalore,Healthy,4.62,1500
R0301,Chinese Kitchen 301,Mumbai,Chinese,4.37,1000
R0302,Burgers Kitchen 302,Kolkata,Burgers,4.46,600
R0303,Street Food Kitchen 303,Ahmedabad,Street Food,3.72,1200
R0304,North Indian Kitchen 304,Delhi,North Indian,4.06,500
R0305,Desserts Kitchen 305,Ahmedabad,Desserts,4.75,400
R0306,Street Food Kitchen 306,Delhi,Street Food,4.43,600
R0307,North Indian Kitchen 307,Ahmedabad,North Indian,3.64,700
R0308,Desserts Kitchen 308,Ahmedabad,Desserts,3.96,800
R0309,Desserts Kitchen 309,Hyderabad,Desserts,4.69,1000
R0310,Biryani Kitchen 310,Ahmedabad,Biryani,4.31,1000
R0311,Desserts Kitchen 311,Hyderabad,Desserts,4.21,400
R0312,Healthy Kitchen 312,Mumbai,Healthy,4.22,800
R0313,Biryani Kitchen 313,Chennai,Biryani,4.12,300
R0314,Burgers Kitchen 314,Bangalore,Burgers,3.97,1500
R0315,Desserts Kitchen 315,Delhi,Desserts,3.86,600
R0316,North Indian Kitchen 316,Delhi,North Indian,4.5,1500
R0317,Chinese Kitchen 317,Pune,Chinese,4.23,1200
R0318,Cafe Kitchen 318,Pune,Cafe,4.4,400
R0319,Burgers Kitchen 319,Kolkata,Burgers,4.34,400
R0320,Continental Kitchen 320,Kolkata,Continental,4.64,1500
R0321,Street Food Kitchen 321,Kolkata,Street Food,4.31,700
R0322,Chinese Kitchen 322,Pune,Chinese,4.44,300
R0323,Continental Kitchen 323,Ahmedabad,Continental,4.21,800
R0324,Street Food Kitchen 324,Delhi,Street Food,3.82,1500
R0325,Burgers Kitchen 325,Chennai,Burgers,4.07,800
R0326,Cafe Kitchen 326,Bangalore,Cafe,4.36,500
R0327,Biryani Kitchen 327,Bangalore,Biryani,4.39,600
R0328,North Indian Kitchen 328,Delhi,North Indian,4.66,500
R0329,Chinese Kitchen 329,Bangalore,Chinese,3.99,700
R0330,Healthy Kitchen 330,Ahmedabad,Healthy,4.23,600
R0331,Desserts Kitchen 331,Mumbai,Desserts,4.1,600
R0332,Burgers Kitchen 332,Kolkata,Burgers,4.72,400
R0333,Burgers Kitchen 333,Mumbai,Burgers,4.28,300
R0334,Mughlai Kitchen 334,Pune,Mughlai,4.29,1200
R0335,Healthy Kitchen 335,Delhi,Healthy,4.14,1200
R0336,Cafe Kitchen 336,Ahmedabad,Cafe,4.07,400
R0337,Desserts Kitchen 337,Bangalore,Desserts,3.64,500
R0338,North Indian Kitchen 338,Pune,North Indian,3.71,600
R0339,Pizza Kitchen 339,Ahmedabad,Pizza,4.21,800
R0340,South Indian Kitchen 340,Chennai,South Indian,4.17,1500
R0341,Mughlai Kitchen 341,Kolkata,Mughlai,4.21,1000
R0342,Pizza Kitchen 342,Delhi,Pizza,4.48,800
R0343,Chinese Kitchen 343,Mumbai,Chinese,4.18,1000
R0344,Burgers Kitchen 344,Bangalore,Burgers,4.03,800
R0345,Burgers Kitchen 345,Mumbai,Burgers,4.08,1500
R0346,Continental Kitchen 346,Bangalore,Continental,4.24,1500
R0347,Chinese Kitchen 347,Chennai,Chinese,4.02,700
R0348,Mughlai Kitchen 348,Ahmedabad,Mughlai,4.52,300
R0349,Chinese Kitchen 349,Pune,Chinese,4.15,1500
R0350,Mughlai Kitchen 350,Chennai,Mughlai,4.24,500
R0351,Desserts Kitchen 351,Hyderabad,Desserts,3.86,500
R0352,Desserts Kitchen 352,Delhi,Desserts,4.52,400
R0353,Healthy Kitchen 353,Chennai,Healthy,4.65,1000
R0354,South Indian Kitchen 354,Delhi,South Indian,3.67,400
R0355,Mughlai Kitchen 355,Mumbai,Mughlai,4.29,1500
R0356,Healthy Kitchen 356,Kolkata,Healthy,4.11,400
R0357,Chinese Kitchen 357,Mumbai,Chinese,4.25,300
R0358,South Indian Kitchen 358,Delhi,South Indian,4.31,800
R0359,Healthy Kitchen 359,Bangalore,Healthy,3.37,400
R0360,South Indian Kitchen 360,Pune,South Indian,4.42,500
R0361,Desserts Kitchen 361,Delhi,Desserts,4.54,300
R0362,Biryani Kitchen 362,Pune,Biryani,4.58,800
R0363,Healthy Kitchen 363,Mumbai,Healthy,3.82,400
R0364,Continental Kitchen 364,Chennai,Continental,4.14,1000
R0365,Street Food Kitchen 365,Kolkata,Street Food,3.96,500
R0366,Healthy Kitchen 366,Delhi,Healthy,3.48,600
R0367,Cafe Kitchen 367,Chennai,Cafe,3.93,700
R0368,North Indian Kitchen 368,Bangalore,North Indian,3.77,700
R0369,Continental Kitchen 369,Bangalore,Continental,4.27,1200
R0370,Continental Kitchen 370,Mumbai,Continental,3.58,400
R0371,North Indian Kitchen 371,Delhi,North Indian,3.81,500
R0372,Mughlai Kitchen 372,Ahmedabad,Mughlai,3.97,1000
R0373,South Indian Kitchen 373,Chennai,South Indian,4.42,1200
R0374,Cafe Kitchen 374,Kolkata,Cafe,5.0,600
R0375,Chinese Kitchen 375,Bangalore,Chinese,4.26,300
R0376,South Indian Kitchen 376,Pune,South Indian,3.79,1200
R0377,Chinese Kitchen 377,Hyderabad,Chinese,3.91,800
R0378,Biryani Kitchen 378,Bangalore,Biryani,4.38,700
R0379,Pizza Kitchen 379,Chennai,Pizza,3.68,600
R0380,Biryani Kitchen 380,Kolkata,Biryani,4.53,1000
R0381,Burgers Kitchen 381,Ahmedabad,Burgers,4.25,500
R0382,Cafe Kitchen 382,Ahmedabad,Cafe,4.11,600
R0383,Burgers Kitchen 383,Bangalore,Burgers,3.56,1000
R0384,Cafe Kitchen 384,Kolkata,Cafe,4.47,600
R0385,Pizza Kitchen 385,Ahmedabad,Pizza,3.88,1500
R0386,Biryani Kitchen 386,Pune,Biryani,4.2,600
R0387,South Indian Kitchen 387,Delhi,South Indian,4.09,800
R0388,Biryani Kitchen 388,Mumbai,Biryani,3.6,800
R0389,Chinese Kitchen 389,Bangalore,Chinese,4.07,1000
R0390,Desserts Kitchen 390,Bangalore,Desserts,3.73,700
R0391,Cafe Kitchen 391,Ahmedabad,Cafe,3.92,600
R0392,Street Food Kitchen 392,Ahmedabad,Street Food,4.3,1200
R0393,Biryani Kitchen 393,Ahmedabad,Biryani,4.4,1000
R0394,South Indian Kitchen 394,Delhi,South Indian,4.14,300
R0395,Mughlai Kitchen 395,Pune,Mughlai,3.84,800
R0396,Healthy Kitchen 396,Hyderabad,Healthy,3.92,1500
R0397,Biryani Kitchen 397,Hyderabad,Biryani,3.92,800
R0398,Continental Kitchen 398,Mumbai,Continental,3.4,1500
R0399,Cafe Kitchen 399,Ahmedabad,Cafe,4.18,600
R0400,Healthy Kitchen 400,Chennai,Healthy,3.57,500
R0401,Pizza Kitchen 401,Kolkata,Pizza,4.18,700
R0402,Burgers Kitchen 402,Bangalore,Burgers,3.64,300
R0403,Pizza Kitchen 403,Mumbai,Pizza,3.73,300
R0404,Healthy Kitchen 404,Hyderabad,Healthy,4.38,800
R0405,Mughlai Kitchen 405,Pune,Mughlai,4.16,300
R0406,Street Food Kitchen 406,Kolkata,Street Food,3.49,300
R0407,Biryani Kitchen 407,Bangalore,Biryani,3.95,700
R0408,Mughlai Kitchen 408,Bangalore,Mughlai,4.24,500
R0409,Healthy Kitchen 409,Kolkata,Healthy,3.93,400
R0410,North Indian Kitchen 410,Hyderabad,North Indian,4.03,700
R0411,Mughlai Kitchen 411,Hyderabad,Mughlai,4.24,500
R0412,South Indian Kitchen 412,Kolkata,South Indian,4.17,800
R0413,South Indian Kitchen 413,Chennai,South Indian,3.8,600
R0414,South Indian Kitchen 414,Chennai,South Indian,4.16,400
R0415,Desserts Kitchen 415,Delhi,Desserts,4.05,1000
R0416,North Indian Kitchen 416,Pune,North Indian,4.75,1500
R0417,Desserts Kitchen 417,Mumbai,Desserts,4.11,1000
R0418,Healthy Kitchen 418,Pune,Healthy,4.2,400
R0419,Desserts Kitchen 419,Hyderabad,Desserts,4.24,800
