order_id,customer_id,restaurant_id,order_date,order_time,order_status,payment_method,order_value,discount,delivery_fee,delivery_time_minutes,rating
O000184,C04018,R0004,22-08-2025,13:46:00,Delivered,Credit Card,615.21,30.76,33.43,32,4.9
O000185,C08922,R0357,18-05-2026,21:35:00,Delivered,Credit Card,724.34,0,32.05,31,4.7
O000186,C09805,R0125,30-11-2025,20:35:00,Delivered,UPI,699.07,139.81,14.16,23,4.4
O000187,C06064,R0053,26-01-2025,13:15:00,Delivered,Credit Card,565.98,56.6,31.98,24,4.9
O000188,C05462,R0262,05-01-2025,21:56:00,Delivered,UPI,334.49,83.62,50.33,24,4.6
O000189,C05208,R0469,13-01-2026,22:49:00,Delivered,UPI,592.73,88.91,48.44,27,4.1
O000190,C00728,R0168,25-08-2025,16:22:00,Delivered,Debit Card,243.48,0,0.34,35,3.6
O000191,C04116,R0268,04-02-2025,20:07:00,Delivered,UPI,839.24,41.96,12.96,23,4.6
O000192,C08095,R0072,11-02-2025,11:41:00,Delivered,UPI,225.78,0,26.43,15,4.0
O000193,C06932,R0274,27-02-2025,14:44:00,Delivered,Credit Card,186.89,46.72,46.31,36,4.6
O000194,C00533,R0047,31-08-2025,22:07:00,Delivered,UPI,329.66,49.45,24.1,30,4.2
O000195,C01385,R0465,11-10-2025,23:22:00,Delivered,UPI,757.88,151.58,4.08,30,4.2
O000196,C08373,R0426,18-01-2026,17:07:00,Delivered,UPI,733.73,110.06,17.94,23,4.2
O000197,C07348,R0155,10-03-2025,16:48:00,Delivered,Cash,935.38,0,24.72,22,4.6
O000198,C04055,R0376,29-06-2026,20:59:00,Delivered,UPI,866.34,0,12.42,24,3.8
O000199,C09418,R0276,18-01-2026,19:12:00,Delivered,UPI,477.14,0,10.73,37,3.6
O000200,C00617,R0393,06-05-2026,21:45:00,Delivered,UPI,238.84,23.88,32.21,17,4.9
O000201,C07616,R0114,02-03-2026,18:30:00,Delivered,UPI,599.28,119.86,38.64,31,4.2
O000202,C09774,R0341,30-07-2025,13:02:00,Delivered,UPI,355.22,0,18.67,32,4.1
O000203,C04373,R0465,16-05-2025,21:45:00,Delivered,UPI,489.93,24.5,18.96,25,3.7
O000204,C04955,R0088,01-01-2025,19:36:00,Delivered,Credit Card,665.18,166.3,25.17,14,4.8
O000205,C02125,R0272,11-03-2025,14:04:00,Delivered,UPI,405.76,60.86,28.27,16,5.0
O000206,C08549,R0369,30-03-2026,13:38:00,Delivered,Debit Card,368.48,0,38.24,26,5.0
O000207,C07257,R0374,29-01-2025,10:50:00,Delivered,Wallet,827.07,82.71,34.82,12,5.0
O000208,C04206,R0279,18-05-2025,16:30:00,Delivered,UPI,310.78,15.54,13.07,32,4.4
O000209,C02347,R0286,07-08-2025,21:14:00,Delivered,UPI,240.89,48.18,23.95,26,4.1
O000210,C04617,R0008,27-11-2025,21:37:00,Delivered,UPI,504.6,50.46,18.77,34,4.5
O000211,C04520,R0294,15-07-2025,20:34:00,Delivered,UPI,555.81,83.37,34.05,39,3.8
O000212,C03624,R0026,10-06-2025,16:30:00,Delivered,UPI,743.35,74.34,20.1,29,5.0
O000213,C08393,R0101,11-02-2025,16:20:00,Delivered,Debit Card,538.21,0,30.71,27,4.6
O000214,C03690,R0110,03-10-2025,18:55:00,Delivered,Debit Card,397.77,0,42.69,26,3.6
O000215,C01142,R0285,27-12-2025,20:01:00,Delivered,Cash,307.22,0,26.88,26,4.5
O000216,C07935,R0394,15-05-2025,12:30:00,Delivered,UPI,789.36,0,37.3,39,4.4
O000217,C07302,R0174,22-07-2025,12:02:00,Delivered,Wallet,442.2,0,24.51,33,4.3
O000218,C00308,R0301,15-04-2026,13:46:00,Delivered,UPI,593.87,89.08,24.12,23,5.0
O000219,C06956,R0213,06-04-2025,16:03:00,Delivered,UPI,430.09,43.01,38.01,31,4.8
O000220,C04899,R0299,17-05-2026,19:59:00,Delivered,UPI,375.6,37.56,25.26,24,4.4
O000221,C06736,R0057,29-03-2025,12:46:00,Delivered,UPI,388.34,77.67,33.35,25,4.4
O000222,C02656,R0494,24-06-2026,21:17:00,Delivered,Debit Card,472.42,23.62,21.06,23,4.4
O000223,C01781,R0169,04-06-2025,12:25:00,Delivered,Debit Card,406.44,40.64,21.37,23,4.3
O000224,C05568,R0248,15-11-2025,11:00:00,Delivered,Debit Card,514.7,77.2,43.44,32,5.0
O000225,C00543,R0279,15-02-2026,19:27:00,Delivered,UPI,376.17,0,12.06,20,4.1
O000226,C02153,R0230,25-02-2025,22:08:00,Delivered,UPI,293.91,14.7,22.96,36,3.8
O000227,C00444,R0225,03-02-2026,12:27:00,Delivered,UPI,385.25,0,6.55,19,4.8
O000228,C03488,R0232,08-05-2025,15:56:00,Delivered,UPI,373.67,74.73,29.55,12,5.0
O000229,C09063,R0427,10-11-2025,22:30:00,Delivered,Cash,612.49,91.87,19.98,41,3.7
O000230,C05333,R0156,03-08-2025,15:54:00,Delivered,UPI,483.14,0,35.41,50,4.2
O000231,C07386,R0221,12-05-2025,11:38:00,Delivered,UPI,451.54,90.31,44.66,20,5.0
O000232,C07419,R0110,02-02-2026,16:39:00,Delivered,Debit Card,673.12,33.66,32.57,16,4.8
O000233,C01265,R0350,20-01-2026,22:49:00,Delivered,Debit Card,880.19,132.03,28.75,31,4.3
O000234,C09460,R0036,16-03-2025,11:06:00,Delivered,UPI,400.38,60.06,44.13,32,5.0
O000235,C01543,R0275,17-02-2025,13:06:00,Delivered,UPI,223,0,41.99,31,5.0
O000236,C02432,R0157,12-08-2025,20:48:00,Delivered,Credit Card,564.6,112.92,18.32,33,4.3
O000237,C06557,R0217,03-05-2025,16:26:00,Delivered,UPI,188.11,0,28.25,30,4.8
O000238,C04830,R0059,23-06-2025,17:17:00,Delivered,UPI,1005.75,100.58,40.55,22,4.6
O000239,C02150,R0208,15-04-2025,22:54:00,Delivered,Debit Card,389.93,19.5,21.41,16,3.7
O000240,C03487,R0075,07-06-2026,18:17:00,Delivered,Debit Card,572.56,57.26,26.49,28,4.3
O000241,C04086,R0441,12-01-2025,21:47:00,Delivered,UPI,737.49,110.62,21.23,23,4.9
O000242,C06061,R0291,20-12-2025,19:15:00,Delivered,Credit Card,633.49,95.02,26.71,27,5.0
O000243,C07907,R0447,20-02-2026,10:28:00,Delivered,Credit Card,518.19,0,11.22,30,4.5
O000244,C03665,R0112,11-06-2025,16:25:00,Delivered,UPI,629.96,31.5,23.15,17,5.0
O000245,C03925,R0190,02-07-2025,19:59:00,Delivered,UPI,601.21,90.18,19.89,22,3.5
O000246,C00970,R0084,25-05-2025,11:19:00,Delivered,UPI,360.72,54.11,18.43,33,4.4
O000247,C09552,R0226,05-11-2025,14:52:00,Delivered,Credit Card,181.32,9.07,21.46,18,4.7
O000248,C06144,R0264,06-06-2026,23:05:00,Delivered,UPI,815.24,0,38.57,38,4.3
O000249,C02600,R0041,26-04-2026,17:03:00,Delivered,Debit Card,453.55,22.68,12.76,35,4.2
O000250,C00356,R0005,19-12-2025,16:58:00,Delivered,Credit Card,393.35,39.34,30.68,19,4.4
O000251,C09496,R0009,25-04-2025,18:57:00,Delivered,Debit Card,379.43,0,37.76,12,4.9
O000252,C00431,R0288,02-12-2025,10:20:00,Delivered,UPI,246.38,12.32,31.29,33,4.7
O000253,C01822,R0291,24-08-2025,12:02:00,Cancelled,Credit Card,403.98,40.4,20.33,0,0.0
O000254,C08843,R0193,07-03-2025,15:22:00,Delivered,UPI,418.88,41.89,0,19,4.9
O000255,C03381,R0002,22-07-2025,22:38:00,Delivered,UPI,497.96,49.8,26.6,33,4.4
O000256,C08703,R0144,19-05-2025,20:21:00,Delivered,Credit Card,531.29,26.56,23.29,20,4.4
O000257,C05505,R0063,06-10-2025,22:53:00,Delivered,UPI,454.48,68.17,8.65,33,4.0
O000258,C05628,R0032,12-02-2025,19:28:00,Delivered,Debit Card,448.26,0,22.96,13,5.0
O000259,C09321,R0109,29-12-2025,18:45:00,Delivered,Cash,379.24,18.96,24.44,18,4.6
O000260,C00181,R0120,28-04-2025,19:07:00,Delivered,Credit Card,407.19,0,14.97,13,4.1
O000261,C03478,R0066,06-04-2026,20:54:00,Delivered,UPI,693.02,69.3,24.65,14,4.6
O000262,C03432,R0379,23-01-2025,13:05:00,Delivered,UPI,796.79,0,15.56,23,4.4
O000263,C07328,R0476,22-02-2026,14:31:00,Delivered,Credit Card,739.23,0,12.33,24,4.5
O000264,C03463,R0212,27-06-2026,14:43:00,Delivered,Cash,437.04,0,16.37,30,3.6
O000265,C08805,R0146,05-09-2025,20:41:00,Delivered,UPI,413.9,20.7,36.37,13,5.0
O000266,C07209,R0322,27-01-2025,20:02:00,Delivered,UPI,619.08,0,14.71,24,4.4
