order_id,partner_id,pickup_time,delivered_time,distance_km
O000089,D00240,18:24:00,18:42:00,0.5
O000090,D00232,17:45:00,18:08:00,5.87
O000091,D01311,22:53:00,23:26:00,2.08
O000092,D01089,14:35:00,14:55:00,9.45
O000093,D01003,18:30:00,18:56:00,4.62
O000094,D01096,14:51:00,15:11:00,1.8
O000095,D01157,22:45:00,23:09:00,3.46
O000096,D01948,14:35:00,14:59:00,4.66
O000097,D00785,18:04:00,18:37:00,1.72
O000098,D00345,18:40:00,18:56:00,3.3
O000099,D01366,11:45:00,12:16:00,1.95
O000101,D01175,23:07:00,23:21:00,4.55
O000102,D01965,13:23:00,13:43:00,1.55
O000103,D01031,22:47:00,23:16:00,2.32
O000104,D01657,16:56:00,17:12:00,1.09
O000105,D00068,15:14:00,15:38:00,4.18
O000106,D00738,23:30:00,00:11:00,1.88
O000107,D01546,18:11:00,18:34:00,4.53
O000108,D01255,21:01:00,21:47:00,2.97
O000109,D01761,22:37:00,23:03:00,0.86
O000110,D01693,14:46:00,15:20:00,1.94
O000112,D00625,13:18:00,13:43:00,5.18
O000113,D00927,22:48:00,23:09:00,7.56
O000114,D00046,20:54:00,21:26:00,2.42
O000115,D01889,18:40:00,19:09:00,0.5
O000116,D00176,22:14:00,22:39:00,6.02
O000118,D01586,15:17:00,15:48:00,6.1
O000119,D01190,17:04:00,17:23:00,7.79
O000120,D00251,10:47:00,11:26:00,2.86
O000122,D01447,12:20:00,12:48:00,3.0
O000123,D01218,18:02:00,18:26:00,6.39
O000124,D00799,20:13:00,20:58:00,2.74
O000125,D00902,21:59:00,22:17:00,6.65
O000126,D01737,19:10:00,19:27:00,1.38
O000127,D01522,11:42:00,12:12:00,3.08
O000128,D00674,15:55:00,16:27:00,9.28
O000129,D00625,11:16:00,11:42:00,3.71
O000130,D01221,10:04:00,10:27:00,3.57
O000131,D00894,16:34:00,17:07:00,4.55
O000132,D00653,10:05:00,10:22:00,1.45
O000133,D01929,20:09:00,20:42:00,2.36
O000134,D01610,12:01:00,12:25:00,4.77
O000135,D00731,10:06:00,10:22:00,2.13
O000136,D00047,15:58:00,16:19:00,2.71
O000137,D01677,18:22:00,18:52:00,3.11
O000139,D00344,23:48:00,00:12:00,4.23
O000140,D00169,21:24:00,21:43:00,5.26
O000141,D00980,20:54:00,21:20:00,2.56
O000142,D01443,20:26:00,20:57:00,3.99
O000143,D01272,11:11:00,11:36:00,5.54
O000144,D00595,19:44:00,20:02:00,5.83
O000145,D01623,10:38:00,11:06:00,1.7
O000146,D01051,12:45:00,13:09:00,3.25
O000147,D00532,23:59:00,00:28:00,10.46
O000148,D01323,11:25:00,11:42:00,3.55
O000149,D01686,15:38:00,15:59:00,6.53
O000150,D00527,14:24:00,14:52:00,4.07
O000151,D00017,21:13:00,21:39:00,1.58
O000152,D00121,12:08:00,12:31:00,4.69
O000153,D00709,22:33:00,22:52:00,11.96
O000154,D00769,23:47:00,00:22:00,8.6
O000155,D00211,14:23:00,14:39:00,9.41
O000156,D01771,19:18:00,19:56:00,11.95
O000157,D01966,14:30:00,14:56:00,5.76
O000158,D00909,15:00:00,15:12:00,6.12
O000159,D00226,13:30:00,14:04:00,3.94
O000160,D00865,16:40:00,17:11:00,3.78
O000161,D01200,20:37:00,20:54:00,1.29
O000162,D01627,10:54:00,11:19:00,2.12
O000163,D01411,23:54:00,00:15:00,5.95
O000164,D01643,22:17:00,22:29:00,1.84
O000165,D00288,19:24:00,19:53:00,10.09
O000166,D01471,15:06:00,15:21:00,5.51
O000167,D01251,21:10:00,21:32:00,3.6
O000168,D01052,22:27:00,22:51:00,3.09
O000169,D00597,14:56:00,15:16:00,0.66
O000171,D01908,10:45:00,11:06:00,10.1
O000172,D00985,20:41:00,20:57:00,1.97
O000173,D00110,11:39:00,12:01:00,5.84
O000175,D00595,20:33:00,20:58:00,3.6
O000176,D00277,18:20:00,18:38:00,3.52
O000177,D00060,19:29:00,20:03:00,0.62
O000178,D00405,18:04:00,18:41:00,7.24
O000179,D01352,15:18:00,15:43:00,1.97
O000180,D01486,12:27:00,12:54:00,8.96
O000181,D01698,10:17:00,10:40:00,1.64
O000182,D00497,14:53:00,15:19:00,4.8
O000183,D00203,14:53:00,15:10:00,10.64
O000184,D00050,13:46:00,14:18:00,1.31
O000185,D00721,21:35:00,22:06:00,7.95
O000186,D00941,20:35:00,20:58:00,7.77
O000187,D01562,13:15:00,13:39:00,9.3
O000188,D00348,21:56:00,22:20:00,17.14
O000189,D01119,22:49:00,23:16:00,1.62
O000190,D00980,16:22:00,16:57:00,12.21
O000191,D01743,20:07:00,20:30:00,3.54
O000192,D00128,11:41:00,11:56:00,2.63
O000193,D01539,14:44:00,15:20:00,10.21
O000194,D01539,22:07:00,22:37:00,4.01
O000195,D00899,23:22:00,23:52:00,1.08
O000196,D00939,17:07:00,17:30:00,1.97
O000197,D00500,16:48:00,17:10:00,4.01
O000198,D00461,20:59:00,21:23:00,5.92
O000199,D01785,19:12:00,19:49:00,9.05
O000200,D00620,21:45:00,22:02:00,2.3
O000201,D01164,18:30:00,19:01:00,4.85
O000202,D00570,13:02:00,13:34:00,1.38
O000203,D00113,21:45:00,22:10:00,2.29
O000204,D01004,19:36:00,19:50:00,1.6
O000205,D00998,14:04:00,14:20:00,8.7
O000206,D00654,13:38:00,14:04:00,5.49
O000207,D00034,10:50:00,11:02:00,6.94
O000208,D00094,16:30:00,17:02:00,3.74
O000209,D01217,21:14:00,21:40:00,8.21
O000210,D00868,21:37:00,22:11:00,4.45
O000211,D01069,20:34:00,21:13:00,1.84
O000212,D00397,16:30:00,16:59:00,10.71
O000213,D00188,16:20:00,16:47:00,1.52
O000214,D01805,18:55:00,19:21:00,1.11
O000215,D00963,20:01:00,20:27:00,4.83
O000216,D01056,12:30:00,13:09:00,4.46
O000217,D01362,12:02:00,12:35:00,1.97
O000218,D01674,13:46:00,14:09:00,2.27
O000219,D01795,16:03:00,16:34:00,3.88
O000220,D00244,19:59:00,20:23:00,1.16
O000221,D00658,12:46:00,13:11:00,1.75
O000222,D01197,21:17:00,21:40:00,11.96
O000223,D01199,12:25:00,12:48:00,2.43
O000224,D01675,11:00:00,11:32:00,4.65
O000225,D00949,19:27:00,19:47:00,10.27
O000226,D00944,22:08:00,22:44:00,4.25
O000227,D01055,12:27:00,12:46:00,5.46
O000228,D00602,15:56:00,16:08:00,4.01
O000229,D01951,22:30:00,23:11:00,1.9
O000230,D01548,15:54:00,16:44:00,9.5
O000231,D01737,11:38:00,11:58:00,2.59
O000232,D00888,16:39:00,16:55:00,5.71
O000233,D01528,22:49:00,23:20:00,8.8
O000234,D01711,11:06:00,11:38:00,7.04
O000235,D00008,13:06:00,13:37:00,1.25
O000236,D01558,20:48:00,21:21:00,1.65
O000237,D00257,16:26:00,16:56:00,0.86
O000238,D01237,17:17:00,17:39:00,3.76
O000239,D00757,22:54:00,23:10:00,1.2
O000240,D01938,18:17:00,18:45:00,1.09
O000241,D00031,21:47:00,22:10:00,5.17
O000242,D00932,19:15:00,19:42:00,5.65
O000243,D00562,10:28:00,10:58:00,4.08
O000244,D00030,16:25:00,16:42:00,3.72
O000245,D00264,19:59:00,20:21:00,1.39
O000246,D00249,11:19:00,11:52:00,3.95
O000247,D00773,14:52:00,15:10:00,7.63
O000248,D01061,23:05:00,23:43:00,2.18
O000249,D00674,17:03:00,17:38:00,4.78
O000250,D01859,16:58:00,17:17:00,3.94
O000251,D01273,18:57:00,19:09:00,2.02
O000252,D00668,10:20:00,10:53:00,3.11
O000254,D00968,15:22:00,15:41:00,1.9
O000255,D01001,22:38:00,23:11:00,7.2
O000256,D01365,20:21:00,20:41:00,6.87
O000257,D01954,22:53:00,23:26:00,2.18
O000258,D00450,19:28:00,19:41:00,1.81
O000259,D00402,18:45:00,19:03:00,8.69
O000260,D01174,19:07:00,19:20:00,2.95
O000261,D01053,20:54:00,21:08:00,4.28
O000262,D01038,13:05:00,13:28:00,8.16
O000263,D00382,14:31:00,14:55:00,2.67
O000264,D01626,14:43:00,15:13:00,4.56
O000265,D01692,20:41:00,20:54:00,3.3
O000266,D01612,20:02:00,20:26:00,1.58
O000267,D01821,11:15:00,11:45:00,4.11
O000268,D01482,12:57:00,13:25:00,6.69
O000269,D00223,15:46:00,16:12:00,6.92
O000271,D00627,17:19:00,17:33:00,0.5
O000272,D00110,15:45:00,16:14:00,0.87
O000273,D00064,14:18:00,14:42:00,1.76
O000274,D00051,22:37:00,22:54:00,4.98
O000276,D01528,17:21:00,17:45:00,5.04
O000278,D00881,17:10:00,17:45:00,2.8
O000279,D01622,14:02:00,14:14:00,4.87
O000280,D01068,18:15:00,18:43:00,3.13
O000281,D01776,11:33:00,12:01:00,6.24
O000282,D00733,10:11:00,10:27:00,4.5
O000283,D01320,19:14:00,19:41:00,2.77
O000284,D00887,12:26:00,13:01:00,3.39
O000285,D01297,14:59:00,15:19:00,0.5
O000286,D00157,12:00:00,12:22:00,8.89
O000287,D00988,23:16:00,23:44:00,5.53
O000288,D00883,22:58:00,23:10:00,9.3
O000289,D00249,16:43:00,17:01:00,6.88
O000290,D00916,23:30:00,23:49:00,5.76
O000291,D00475,11:59:00,12:25:00,10.06
O000292,D01724,22:10:00,22:34:00,2.82
O000293,D01223,21:20:00,21:49:00,0.5
O000294,D00969,13:07:00,13:31:00,0.95
O000295,D00472,17:44:00,18:04:00,3.74
O000296,D01426,10:56:00,11:13:00,4.33
O000297,D00311,16:47:00,16:59:00,2.77
O000299,D01367,21:21:00,21:39:00,5.58
O000300,D01973,20:56:00,21:17:00,0.62
O000301,D01087,10:18:00,10:40:00,10.07
O000302,D01592,20:58:00,21:20:00,2.95
O000303,D01859,21:15:00,21:46:00,11.83
O000304,D00653,12:19:00,12:37:00,2.82
O000305,D01916,12:33:00,13:01:00,14.2
O000306,D01925,14:55:00,15:12:00,1.05
O000307,D01928,23:39:00,00:00:00,1.73
O000308,D00655,22:19:00,22:43:00,0.77
O000309,D00740,12:12:00,12:34:00,6.72
O000311,D01027,11:00:00,11:24:00,2.92
O000312,D01761,14:23:00,14:44:00,0.88
O000313,D00800,19:21:00,19:54:00,4.79
O000314,D00408,12:40:00,13:07:00,2.42
O000315,D01888,14:31:00,15:05:00,5.99
O000316,D01197,15:30:00,15:45:00,2.51
O000317,D01433,21:58:00,22:22:00,3.91
O000318,D00752,18:45:00,19:02:00,7.48
O000319,D01643,16:04:00,16:35:00,2.34
O000320,D01427,21:42:00,22:03:00,4.94
O000321,D00236,14:23:00,14:48:00,3.52
O000322,D01339,16:02:00,16:43:00,2.86
O000323,D00570,18:41:00,19:11:00,3.71
O000324,D00537,21:33:00,22:00:00,5.82
O000325,D00420,23:27:00,23:54:00,8.52
O000326,D00370,12:32:00,13:11:00,0.55
O000328,D01930,15:50:00,16:06:00,3.46
O000329,D01057,18:23:00,18:55:00,5.49
O000330,D01532,18:30:00,18:52:00,2.3
O000331,D01030,13:29:00,13:49:00,3.54
O000332,D00359,15:45:00,16:12:00,0.89
O000333,D00351,12:07:00,12:47:00,3.38
O000335,D01094,20:27:00,20:39:00,0.74
O000336,D00720,19:51:00,20:20:00,0.53
O000337,D00717,11:49:00,12:08:00,4.34
O000339,D00880,13:25:00,13:45:00,2.57
O000340,D00112,15:16:00,15:49:00,4.5
O000341,D01844,13:17:00,13:51:00,10.23
O000342,D01033,18:09:00,18:46:00,5.26
O000343,D00773,15:17:00,15:36:00,4.7
O000344,D01409,19:06:00,19:27:00,4.24
O000345,D00637,19:44:00,20:04:00,4.54
O000346,D01827,23:05:00,23:41:00,2.41
O000347,D00611,13:53:00,14:23:00,4.19
O000348,D01512,18:06:00,18:38:00,13.73
O000349,D01743,13:45:00,14:10:00,0.5
O000350,D00141,13:25:00,14:06:00,2.09
O000351,D01138,21:21:00,21:50:00,4.56
O000352,D01810,21:11:00,21:46:00,4.69
O000353,D00955,23:20:00,23:39:00,1.71
O000355,D00058,11:27:00,11:58:00,2.52
O000356,D00993,20:06:00,20:39:00,3.05
O000357,D01397,18:18:00,18:51:00,6.83
O000358,D00081,18:56:00,19:23:00,2.85
O000359,D00068,10:14:00,10:51:00,4.35
O000360,D01645,22:56:00,23:23:00,3.53
O000361,D00302,12:31:00,12:52:00,10.54
O000362,D01861,19:11:00,19:40:00,2.1
O000363,D01834,18:36:00,19:07:00,1.48
O000364,D00699,18:50:00,19:23:00,8.86
O000365,D01589,19:19:00,19:45:00,7.05
O000366,D00734,21:30:00,21:49:00,9.36
O000367,D01384,20:33:00,20:56:00,6.42
O000368,D01669,14:12:00,14:30:00,5.31
O000369,D01211,12:19:00,12:48:00,2.83
O000370,D00061,11:18:00,11:30:00,1.14
O000371,D01436,10:33:00,10:53:00,5.52
O000372,D01866,15:52:00,16:25:00,3.89
O000373,D01865,18:09:00,18:54:00,0.77
O000374,D01210,12:14:00,12:26:00,9.51
O000375,D00968,18:47:00,19:12:00,4.62
O000377,D00981,19:55:00,20:30:00,7.12
O000378,D00403,22:43:00,23:07:00,4.66
O000380,D01078,17:05:00,17:36:00,2.0
O000381,D00155,17:59:00,18:17:00,3.1
O000382,D01592,19:40:00,20:09:00,4.76
O000384,D00656,14:06:00,14:21:00,4.47
O000385,D01348,17:15:00,17:39:00,2.68
O000386,D00958,20:33:00,20:58:00,9.72
O000387,D01800,19:39:00,19:51:00,0.82
O000388,D01950,12:35:00,12:48:00,3.12
O000389,D01384,16:51:00,17:12:00,1.55
O000390,D01204,18:44:00,19:00:00,1.75
O000391,D01098,17:10:00,17:37:00,2.93
O000392,D00512,16:28:00,16:46:00,9.53
O000393,D00072,13:16:00,13:40:00,4.67
O000394,D01800,19:07:00,19:40:00,2.14
O000395,D00104,16:55:00,17:22:00,0.58
O000396,D01073,19:48:00,20:05:00,4.21
O000397,D01167,12:54:00,13:16:00,6.55
O000398,D01969,11:21:00,11:53:00,4.3
O000399,D00464,22:01:00,22:31:00,1.13
O000400,D01546,20:25:00,20:43:00,3.67
O000401,D00722,14:07:00,14:40:00,5.87
O000402,D01599,12:48:00,13:20:00,1.81
O000403,D00099,12:07:00,12:35:00,2.86
O000404,D01234,11:07:00,11:35:00,3.31
O000405,D01138,10:58:00,11:10:00,6.32
O000406,D00752,23:12:00,23:31:00,4.24
O000407,D01153,17:35:00,18:04:00,1.4
O000408,D00494,12:50:00,13:24:00,6.56
O000409,D00122,22:28:00,22:54:00,3.04
O000410,D00254,20:51:00,21:18:00,6.26
O000411,D00337,18:26:00,18:38:00,5.67
O000412,D01020,13:02:00,13:27:00,4.02
O000413,D01358,10:33:00,10:46:00,8.11
O000414,D01137,16:27:00,17:03:00,4.9
O000415,D00801,10:50:00,11:20:00,5.52
O000416,D00700,16:00:00,16:41:00,2.59
O000417,D00221,20:05:00,20:31:00,3.14
O000418,D01729,21:31:00,22:04:00,6.87
O000419,D00227,10:50:00,11:28:00,5.15
O000420,D00719,15:31:00,16:05:00,1.49
O000421,D00357,17:05:00,17:29:00,0.87
O000422,D01594,12:09:00,12:27:00,2.06
O000423,D00104,14:37:00,14:49:00,8.88
O000424,D00924,23:20:00,23:46:00,5.08
O000425,D01295,23:05:00,23:19:00,0.66
O000426,D01820,11:53:00,12:26:00,2.42
O000428,D00948,12:44:00,12:56:00,3.86
O000429,D01004,22:51:00,23:12:00,4.13
O000430,D01534,21:33:00,21:54:00,1.98
O000431,D00218,11:59:00,12:12:00,5.46
O000432,D01428,17:18:00,17:47:00,7.41
O000433,D01093,19:26:00,19:44:00,1.25
O000434,D00761,10:39:00,10:51:00,7.93
O000435,D01425,18:31:00,19:05:00,3.66
O000436,D00913,13:37:00,14:10:00,1.31
O000437,D00330,11:15:00,11:45:00,4.54
O000438,D01794,12:50:00,13:03:00,1.68
O000440,D01473,15:37:00,15:54:00,2.38
O000441,D01219,23:21:00,23:49:00,3.0
O000442,D01566,18:54:00,19:31:00,4.95
O000443,D01974,23:13:00,23:41:00,2.46
O000444,D01842,15:04:00,15:25:00,8.37
O000445,D01323,13:04:00,13:19:00,1.4
O000446,D01581,15:25:00,15:39:00,5.17
O000447,D00094,13:02:00,13:27:00,6.12
O000448,D01806,17:40:00,18:13:00,5.34
O000449,D01079,11:56:00,12:25:00,0.66
O000451,D01677,22:06:00,22:31:00,6.01
O000452,D01783,21:34:00,22:06:00,7.98
O000453,D01909,21:33:00,21:51:00,0.68
O000455,D00308,16:24:00,17:01:00,3.65
O000456,D01532,16:45:00,17:10:00,9.69
O000457,D01265,21:58:00,22:20:00,5.91
O000458,D01181,21:55:00,22:13:00,2.49
O000459,D01501,17:37:00,17:50:00,4.73
O000460,D01095,19:56:00,20:16:00,3.56
O000461,D01833,21:38:00,22:05:00,3.81
O000462,D01272,10:00:00,10:25:00,9.04
O000463,D00793,12:13:00,12:38:00,6.17
O000464,D00074,10:16:00,10:48:00,1.57
O000465,D00078,15:17:00,15:36:00,3.59
O000466,D01796,21:24:00,21:48:00,5.79
O000467,D00108,11:06:00,11:39:00,6.23
O000468,D00207,17:34:00,18:00:00,1.11
O000469,D00689,10:10:00,10:39:00,13.25
O000470,D00907,21:56:00,22:20:00,5.36
O000471,D00404,18:23:00,18:59:00,3.11
O000472,D01679,15:51:00,16:09:00,1.93
O000473,D01319,11:11:00,11:30:00,2.09
O000474,D00322,13:09:00,13:30:00,5.63
O000475,D01126,21:01:00,21:32:00,7.29
O000476,D01913,16:56:00,17:27:00,4.08
O000477,D00539,13:37:00,14:00:00,13.46
O000478,D01672,14:14:00,14:26:00,2.06
O000479,D01847,20:24:00,21:00:00,3.6
O000480,D00190,11:00:00,11:25:00,10.54
O000481,D00042,15:55:00,16:40:00,3.6
O000482,D01373,19:58:00,20:22:00,1.67
O000484,D01203,19:17:00,19:30:00,2.92
O000485,D01417,16:31:00,16:52:00,4.01
O000486,D00157,14:33:00,14:58:00,2.2
O000487,D00838,11:03:00,11:36:00,4.41
O000488,D01713,16:25:00,16:44:00,4.87
O000489,D01924,19:30:00,20:03:00,3.11
O000490,D01519,23:23:00,00:01:00,4.2
O000491,D00188,15:08:00,15:40:00,5.12
O000492,D00413,11:57:00,12:42:00,7.85
O000493,D00033,16:28:00,17:08:00,7.74
O000494,D00834,16:37:00,17:08:00,11.55
O000495,D01905,23:26:00,23:51:00,2.51
O000496,D00180,17:42:00,18:06:00,2.46
O000497,D01423,11:39:00,11:51:00,2.61
O000498,D00063,12:27:00,12:46:00,2.09
O000499,D00542,19:41:00,20:04:00,1.17
O000500,D00209,10:20:00,10:32:00,7.38
O000501,D01914,17:08:00,17:38:00,4.32
O000502,D01730,16:52:00,17:25:00,3.39
O000503,D00252,23:52:00,00:28:00,4.16
O000504,D01034,19:37:00,20:13:00,7.05
O000505,D00979,18:04:00,18:31:00,3.3
O000506,D01112,14:09:00,14:42:00,7.69
O000507,D00475,21:36:00,21:59:00,1.73
O000508,D01130,22:41:00,23:00:00,2.79
O000509,D01113,22:41:00,23:05:00,2.23
O000510,D00799,19:09:00,19:30:00,4.79
O000511,D00127,17:18:00,17:38:00,1.67
O000512,D01126,11:15:00,11:31:00,2.46
O000513,D00678,21:12:00,21:30:00,1.05
O000515,D00591,19:15:00,19:45:00,4.78
O000517,D00267,13:35:00,14:02:00,2.16
O000518,D01734,10:51:00,11:15:00,3.79
O000519,D01888,11:28:00,11:55:00,11.47
O000520,D01499,22:08:00,22:25:00,5.15
O000522,D01477,21:23:00,21:53:00,2.63
O000523,D00561,11:25:00,11:45:00,2.82
O000524,D01810,12:00:00,12:23:00,2.11
O000525,D01262,12:36:00,13:03:00,5.3
O000526,D00176,16:44:00,17:11:00,1.99
O000527,D01255,14:44:00,15:26:00,8.54
O000528,D01330,23:37:00,23:49:00,1.24
O000529,D01663,16:00:00,16:22:00,1.6
O000530,D00754,19:26:00,20:07:00,2.31
O000531,D01053,22:17:00,22:34:00,7.61
O000533,D01540,17:55:00,18:21:00,1.36
O000534,D00331,17:20:00,17:54:00,6.43
O000536,D01972,10:51:00,11:15:00,9.62
O000537,D01005,11:29:00,12:02:00,3.71
O000538,D01726,17:47:00,18:15:00,9.72
O000539,D01718,13:28:00,13:58:00,5.81
O000540,D00034,18:36:00,19:09:00,3.79
O000541,D01463,18:54:00,19:25:00,3.53
O000542,D01738,15:43:00,16:02:00,3.44
O000543,D01935,20:38:00,21:15:00,6.79
O000544,D00720,15:08:00,15:27:00,10.28
O000545,D00162,11:07:00,11:42:00,4.41
O000546,D01059,10:47:00,11:08:00,4.38
O000547,D00936,10:53:00,11:28:00,3.77
O000548,D01691,11:45:00,12:13:00,4.19
O000549,D00302,23:47:00,00:17:00,4.57
O000550,D01050,23:52:00,00:28:00,2.69
O000551,D01272,12:16:00,12:44:00,2.7
O000552,D01502,19:30:00,19:49:00,4.2
O000553,D01443,13:47:00,14:15:00,6.03
O000554,D00562,10:27:00,11:00:00,3.54
O000555,D01163,16:43:00,17:09:00,0.5
O000556,D01699,18:17:00,18:35:00,2.37
O000557,D01783,13:53:00,14:19:00,2.9
O000558,D01522,19:38:00,19:55:00,7.31
O000559,D00386,17:12:00,17:42:00,10.98
O000560,D00464,17:33:00,18:12:00,2.73
O000562,D01053,22:34:00,22:49:00,6.46
O000564,D01368,14:04:00,14:37:00,4.68
O000565,D00416,14:48:00,15:24:00,5.83
O000566,D00354,20:52:00,21:21:00,4.84
O000567,D01353,20:10:00,20:40:00,5.03
O000568,D01141,14:39:00,15:15:00,5.17
O000569,D01266,23:56:00,00:21:00,3.26
O000570,D00512,13:21:00,13:37:00,3.31
O000571,D01917,11:22:00,11:46:00,3.06
O000572,D00573,19:20:00,19:37:00,3.31
O000573,D01034,10:50:00,11:34:00,2.8
O000574,D00905,14:02:00,14:21:00,4.17
O000576,D00793,11:01:00,11:25:00,1.83
O000577,D00812,10:45:00,11:13:00,3.12
O000578,D01810,22:50:00,23:08:00,5.2
O000580,D00048,18:07:00,18:35:00,3.45
O000581,D00491,16:31:00,16:54:00,1.01
O000583,D01119,19:51:00,20:17:00,10.63
O000584,D00575,11:38:00,11:54:00,2.03
O000585,D00740,17:22:00,18:00:00,4.29
O000586,D01869,20:42:00,21:20:00,3.19
O000587,D01948,19:08:00,19:21:00,1.63
O000588,D01116,17:07:00,17:21:00,1.15
O000589,D00870,18:56:00,19:11:00,4.27
O000590,D01259,10:00:00,10:21:00,0.91
O000591,D01545,22:15:00,22:54:00,5.6
O000592,D01797,16:29:00,16:46:00,4.59
O000593,D01260,21:53:00,22:27:00,2.89
O000594,D01289,15:18:00,15:48:00,6.53
O000595,D01929,13:07:00,13:44:00,4.01
O000596,D01620,21:47:00,22:04:00,7.21
O000597,D00949,23:26:00,23:47:00,3.67
O000598,D01517,15:16:00,15:56:00,13.86
O000599,D00033,23:03:00,23:24:00,0.5
O000600,D00292,13:41:00,14:11:00,2.08
O000601,D01474,12:43:00,13:08:00,3.26
O000602,D00025,17:03:00,17:32:00,3.04
O000603,D00891,20:16:00,20:29:00,0.97
O000604,D00759,17:09:00,17:42:00,4.44
O000605,D01435,13:20:00,13:42:00,8.79
O000606,D01001,13:07:00,13:37:00,2.01
O000607,D01300,12:15:00,12:42:00,1.37
O000608,D00975,18:13:00,18:45:00,2.46
O000609,D01002,13:31:00,13:55:00,2.58
O000610,D01398,17:27:00,17:58:00,3.51
O000611,D01557,21:50:00,22:31:00,4.29
O000612,D01625,21:25:00,21:56:00,2.01
O000614,D00623,13:09:00,13:40:00,1.78
O000615,D00615,23:04:00,23:37:00,5.37
O000616,D01337,22:35:00,23:12:00,1.95
O000617,D00792,14:54:00,15:12:00,2.87
O000618,D00769,14:19:00,14:54:00,4.94
O000619,D01475,12:33:00,13:08:00,2.03
O000620,D00549,21:07:00,21:37:00,1.43
O000621,D01167,16:43:00,17:09:00,1.15
O000623,D00855,23:25:00,23:56:00,2.16
O000624,D01924,16:13:00,16:43:00,0.96
O000625,D01507,14:29:00,15:00:00,6.2
O000626,D01472,18:12:00,18:24:00,0.92
O000628,D00970,19:53:00,20:07:00,3.24
O000629,D01554,23:03:00,23:21:00,3.29
O000630,D01511,13:25:00,13:45:00,7.24
